x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,21.00,0.83,61.00,111.00,18.00,93.00,14.03,0.73,0.51018131,-0.67930800,3.17068434,0.72183537,0.93084824,1.77042711,0.18364718,7.62,0.15293990,-0.20010181,0.17583153,0.37593332,2.80126524,0.09527188,0.81906670,2.99684525,2.17777848,3.30452037,3.91,2.54,0.00131989,0.23057507,-3.91904020,0.75161481,0.21319993,0.00260390,-0.19930585,0.00175763,7.18126965,2.32684231,0.53864163,0.33622816,0.56215217,-0.00664325,3.18550014,1.62134564,0.07178867,3.10140085,0.26465958,-7.08718729,1.15670395,5.28007126,0.61349648,1.95669079,4.66352510,0.03105980,-0.01144767,2.59212589,2.39415407,0.05051973,-5.29015112,0.25501677,-3.55854893,0.09914415,26.02982330,5.13052988,1.76007700,3.89269853,0.04878630,-0.00253621,0.56395799,-0.79818332,0.02257398,-7.57789183,2.73647499,-6.78174877,1.12034786,6.81742620,0.75720692,1.54283667,2.80517554,0.09429002,-0.00095246,0.04659235,-2.37026143,0.12591647,-7.37952137,1.52075863,-3.21806884,0.21174791,10.05951309,1.18354976,1.15436876,1.64225018,0.20033004,0.00673513,1.04936588,-8.39079571,0.74577332,-3.57567501,0.19252689,-1.13343155,0.01099596,13.65234661,1.00642312,0.42743766,0.24152073,0.62322355,-0.00253621,0.56395799,-0.79818332,0.02257398,-7.57789183,2.73647499,-6.78174877,1.12034786,6.81742620,0.75720692,1.54283667,2.80517554,0.09429002,-0.00095246,0.04659235,-2.37026143,0.12591647,-7.37952137,1.52075863,-3.21806884,0.21174791,10.05951309,1.18354976,1.15436876,1.64225018,0.20033004,0.00673513,1.04936588,-8.39079571,0.74577332,-3.57567501,0.19252689,-1.13343155,0.01099596,13.65234661,1.00642312,0.42743766,0.24152073,0.62322355,
0.00,0.00,0.00,0.00,61.00,111.00,19.00,92.00,0.92,0.00,4.88095188,1.55724001,1.35474777,10.55913067,4.58801746,0.57050449,0.45024495,66.20,0.52737177,-2.72152567,-2.27439070,0.44713509,2.34184575,0.12703408,276.67486572,234.80732727,-41.86754990,0.27650985,3.91,2.54,0.03763505,2.49227667,-55.03801346,1.97097492,-5.22042131,0.02027592,34.30952835,0.67752612,33.16172028,0.65968776,-5.01403761,0.38734773,0.53384636,0.05055838,2.46691895,-120.58579254,5.30600691,21.11559868,0.16404463,-111.30732727,3.81487489,76.11742401,1.70461345,-3.48114800,0.19729994,0.65701041,0.14442103,5.50548697,-256.32919312,7.72735167,-20.95355225,0.05336137,-117.77671814,1.44979942,23.93654251,0.05793839,-6.65078926,0.74170071,0.38933417,0.03958734,1.81772113,-14.90668488,0.10429276,18.07293892,0.20593400,38.95670319,0.48909327,2.56441522,0.00143624,-3.00404096,0.14064056,0.70772884,0.05680121,2.19849753,-18.16552925,0.09800811,10.47381687,0.04055127,29.09216118,0.22949588,30.04241562,0.13999580,-3.03754902,0.15082420,0.69783607,0.07350999,1.65765846,8.16742420,0.00938714,15.71899414,0.04936531,62.08370209,0.43953902,-65.94701385,0.31143215,-1.57670319,0.04362259,0.83460218,0.03958734,1.81772113,-14.90668488,0.10429276,18.07293892,0.20593400,38.95670319,0.48909327,2.56441522,0.00143624,-3.00404096,0.14064056,0.70772884,0.05680121,2.19849753,-18.16552925,0.09800811,10.47381687,0.04055127,29.09216118,0.22949588,30.04241562,0.13999580,-3.03754902,0.15082420,0.69783607,0.07350999,1.65765846,8.16742420,0.00938714,15.71899414,0.04936531,62.08370209,0.43953902,-65.94701385,0.31143215,-1.57670319,0.04362259,0.83460218,
0.00,0.00,16.00,0.69,61.00,112.00,17.00,165.00,16.54,0.71,3.16091537,1.96585667,6.56119156,3.58964324,3.81940174,32.63832855,0.00000001,7.29,0.00000002,1.14516139,1.31910884,0.17394741,0.75275493,0.38632524,8.19234753,5.96307278,-2.22927451,5.55811071,3.88,2.50,0.01155911,19.90522003,6.12419462,2.06619883,-7.62271309,3.67281079,-1.73945260,0.14745475,0.96207863,0.04697739,1.51079047,2.97753072,0.08475352,0.01820969,27.08178711,8.30502510,2.12980771,-6.20423079,1.19844103,-7.32834387,1.39933705,2.55084944,0.16201530,1.24462855,2.13497210,0.14430409,0.02585577,14.81248093,22.76770592,5.11744356,-6.86517668,0.48113531,-17.51599312,2.69185400,10.69371128,0.97003084,2.00796127,5.67530298,0.01740149,0.01680538,28.29977989,8.18704987,2.71761513,2.19922352,0.26344001,0.52130580,0.00760568,17.03672600,5.40465832,0.93678105,1.18201268,0.27722269,0.01722028,17.18016815,10.28807735,2.67454362,7.04761219,1.56438887,-5.32303333,0.65335160,14.33225727,2.70962572,1.70182848,4.02557659,0.04509863,0.02274921,13.40756226,4.44325733,0.23419258,14.31590176,3.45612574,-8.68588638,0.72662365,18.46520042,2.06197309,2.09913445,6.52452946,0.01079485,0.01680538,28.29977989,8.18704987,2.71761513,2.19922352,0.26344001,0.52130580,0.00760568,17.03672600,5.40465832,0.93678105,1.18201268,0.27722269,0.01722028,17.18016815,10.28807735,2.67454362,7.04761219,1.56438887,-5.32303333,0.65335160,14.33225727,2.70962572,1.70182848,4.02557659,0.04509863,0.02274921,13.40756226,4.44325733,0.23419258,14.31590176,3.45612574,-8.68588638,0.72662365,18.46520042,2.06197309,2.09913445,6.52452946,0.01079485,
0.00,0.00,18.00,0.83,61.00,112.00,18.00,127.00,12.84,0.70,3.57261872,2.04935765,3.78807116,3.75959134,3.29240966,15.90764141,0.00007160,9.00,0.00010423,0.04421213,0.36810434,0.32389221,1.86827385,0.17273523,-7.86487293,-6.41378832,1.45108473,1.28522348,3.91,2.54,0.01146920,12.72467422,2.48378491,0.22061673,1.55954671,0.09974389,9.29789734,2.73581886,3.35039687,0.37023258,0.62178373,0.32740360,0.56732747,0.01381142,9.96613979,-8.97657204,1.59172428,8.14226437,1.32034862,0.00361367,0.00000000,-2.08210278,0.06900020,0.99019420,0.86443758,0.35273627,0.03173999,14.51864433,-30.98066902,6.16301203,6.42974329,0.27447036,13.67011642,1.06645358,6.25298214,0.21570972,0.55533510,0.28237498,0.59527313,0.01297189,10.69154739,-4.05315447,0.42231348,6.77006292,1.58287179,-6.31142044,0.70325691,-7.70454264,0.70089287,0.90051246,0.69257140,0.40550049,0.01685623,10.63486958,-9.33334446,1.42200983,13.10790539,3.49618101,-3.93623686,0.23082173,-12.56180286,1.34472144,0.97276151,0.84969705,0.35687233,0.02233467,8.40444183,-18.99494743,2.78369474,12.12085629,1.61124861,15.23742485,1.45420849,-26.57084656,2.77658677,1.29803169,1.62252665,0.20305172,0.01297189,10.69154739,-4.05315447,0.42231348,6.77006292,1.58287179,-6.31142044,0.70325691,-7.70454264,0.70089287,0.90051246,0.69257140,0.40550049,0.01685623,10.63486958,-9.33334446,1.42200983,13.10790539,3.49618101,-3.93623686,0.23082173,-12.56180286,1.34472144,0.97276151,0.84969705,0.35687233,0.02233467,8.40444183,-18.99494743,2.78369474,12.12085629,1.61124861,15.23742485,1.45420849,-26.57084656,2.77658677,1.29803169,1.62252665,0.20305172,
0.00,0.00,0.00,0.00,61.00,112.00,19.00,86.00,1.66,0.00,-0.87596118,3.72665668,2.73176575,-2.19249296,0.84749210,0.02982994,0.86291330,53.51,0.64043567,-2.31219983,-1.94698799,0.36521178,1.50806642,0.22043358,78.77922058,70.29569244,-8.48353195,0.62267375,3.91,2.54,-0.01278147,0.43905947,-13.00554276,0.16804242,34.53232956,1.35973907,7.51993990,0.04966813,44.60889435,1.82342100,2.45905066,0.14231992,0.70606985,-0.03453692,1.74708402,-33.68930054,0.62851328,45.25923538,1.14372146,-26.90143776,0.33813712,15.36383152,0.10534500,5.38726902,0.71734524,0.39722964,-0.06437718,1.66451919,-16.36670685,0.04789983,95.30886841,1.68091047,-130.93199158,2.72629881,94.50468445,1.37312853,5.29867983,0.71637428,0.39754916,-0.00975343,0.16877097,-41.86657333,1.25855649,22.63500786,0.49414316,-16.56050873,0.13521960,20.91861153,0.14426242,2.12617373,0.10783764,0.74269195,-0.01030323,0.11075647,-67.12998199,2.05115223,35.08805847,0.69855267,-22.64368439,0.21296717,-17.86889267,0.07589652,1.57165647,0.06185102,0.80364770,-0.05823963,1.59300208,15.33549309,0.05063993,50.53467178,0.78073418,-44.64479828,0.34805444,46.96602249,0.24187121,5.49123621,0.80947810,0.36850283,-0.00975343,0.16877097,-41.86657333,1.25855649,22.63500786,0.49414316,-16.56050873,0.13521960,20.91861153,0.14426242,2.12617373,0.10783764,0.74269195,-0.01030323,0.11075647,-67.12998199,2.05115223,35.08805847,0.69855267,-22.64368439,0.21296717,-17.86889267,0.07589652,1.57165647,0.06185102,0.80364770,-0.05823963,1.59300208,15.33549309,0.05063993,50.53467178,0.78073418,-44.64479828,0.34805444,46.96602249,0.24187121,5.49123621,0.80947810,0.36850283,
0.00,0.00,0.00,0.42,62.00,111.00,16.00,142.00,28.68,0.70,2.86573720,1.95765877,2.09825873,3.19753003,2.52979612,50.78921127,0.00000000,3.87,0.00000000,0.88196760,0.91522157,0.03325395,0.05039071,0.82254343,3.97587419,3.32639098,-0.64948303,1.63885581,3.82,2.70,0.01341334,104.31210327,0.63899136,0.08756118,-0.22658102,0.01262079,1.13368356,0.24378802,3.03802490,1.82452404,-0.43820772,0.97486687,0.32372105,0.01892899,114.16492462,-4.21235371,2.13760567,1.98832059,0.48023632,5.87806940,3.51233077,4.67601824,2.12379003,-0.52488446,1.48136425,0.22386377,0.03568393,109.81883240,-7.51621294,2.17085242,8.73493576,3.03186989,-0.74789602,0.01909256,5.34916592,0.94472551,-0.35825655,0.70321888,0.40191538,0.01205662,53.10539246,2.83486390,1.18794477,4.15534258,3.42858553,0.93036652,0.08787760,5.63355970,2.15459824,0.37946236,0.70709860,0.40062051,0.01669466,59.64688110,1.91571605,0.34254771,3.65565848,1.55481684,-4.42410898,1.66705644,2.94860816,0.42360964,0.42567801,0.93031454,0.33502692,0.02398467,55.70456696,5.57407236,1.37770450,8.62405014,4.68796730,-9.94274235,3.55871820,3.89843082,0.34350693,0.72155631,2.88144088,0.08993367,0.01205662,53.10539246,2.83486390,1.18794477,4.15534258,3.42858553,0.93036652,0.08787760,5.63355970,2.15459824,0.37946236,0.70709860,0.40062051,0.01669466,59.64688110,1.91571605,0.34254771,3.65565848,1.55481684,-4.42410898,1.66705644,2.94860816,0.42360964,0.42567801,0.93031454,0.33502692,0.02398467,55.70456696,5.57407236,1.37770450,8.62405014,4.68796730,-9.94274235,3.55871820,3.89843082,0.34350693,0.72155631,2.88144088,0.08993367,
0.00,0.00,11.00,0.56,62.00,111.00,17.00,153.00,24.08,0.72,1.83360302,0.37086132,0.97518069,0.75640160,0.98401165,6.44536829,0.01128213,4.22,0.00965675,0.88188106,1.02358842,0.14170735,0.69571179,0.40491725,4.35966444,4.68664885,0.32698426,0.36357558,3.92,2.54,0.00601841,15.94164944,0.21592432,0.00757796,3.89349174,2.83080173,2.00309920,0.57765716,0.76743007,0.08833738,-0.43434510,0.72705132,0.39405579,0.01148587,32.01349640,-0.66658789,0.04077259,0.80625957,0.06017245,2.89459443,0.64874446,-1.10849810,0.09097109,-0.82263339,2.77122068,0.09630304,0.02135996,30.21177101,-6.43464708,1.22152400,-1.38215411,0.05819907,-5.94209623,0.92582464,4.20807266,0.44885483,-0.66423678,1.85602510,0.17340750,0.01020826,30.67476845,2.20755577,0.58046579,-1.24160004,0.24664319,-0.32871479,0.00887127,-5.95536709,1.93996048,-0.79951793,2.52918792,0.11209077,0.01584545,43.95956421,1.47816062,0.16690290,-3.87933731,1.43248165,-3.86568379,1.04134107,-3.57915974,0.51068962,-0.96439964,3.90674782,0.04838176,0.02407125,45.97574234,5.30622101,1.02302718,0.13980657,0.00100428,-5.30608988,0.83054006,1.15565908,0.02477225,-0.82120949,3.05836916,0.08064555,0.01020826,30.67476845,2.20755577,0.58046579,-1.24160004,0.24664319,-0.32871479,0.00887127,-5.95536709,1.93996048,-0.79951793,2.52918792,0.11209077,0.01584545,43.95956421,1.47816062,0.16690290,-3.87933731,1.43248165,-3.86568379,1.04134107,-3.57915974,0.51068962,-0.96439964,3.90674782,0.04838176,0.02407125,45.97574234,5.30622101,1.02302718,0.13980657,0.00100428,-5.30608988,0.83054006,1.15565908,0.02477225,-0.82120949,3.05836916,0.08064555,
0.00,0.00,17.00,0.75,62.00,111.00,18.00,163.00,21.85,0.68,1.52913761,0.03385066,2.41459537,0.27662781,1.06355286,3.33341002,0.06819847,6.35,0.04108093,0.39831781,0.65618289,0.25786504,1.71697581,0.19112324,5.32412720,7.12727928,1.80315244,5.52533817,3.93,2.58,0.00947070,17.46806145,0.43415979,0.01360441,-2.84357619,0.66814899,-0.52007872,0.01724503,4.52022886,1.35680032,-0.98450410,1.65293574,0.19887346,0.01203751,15.38733673,8.56887150,2.94802356,1.51629663,0.09304903,-0.69198149,0.01621164,2.58278131,0.21593131,-0.76403779,1.04608214,0.30667178,0.02268131,14.98630714,14.64975357,2.78565860,2.63630748,0.09326918,6.34233570,0.46403581,15.56339836,2.70124483,-0.78789997,1.14887607,0.28405705,0.00970337,12.10364819,5.91147757,1.81761825,1.31460905,0.12072176,7.60353756,2.06489706,4.16784048,0.41496912,-0.65975994,0.75207174,0.38604032,0.01519429,17.56763649,9.90182304,3.25398731,0.12415382,0.00067478,8.38350582,2.12854886,0.87614894,0.01330283,-0.88028127,1.41463041,0.23458673,0.02593616,23.28467941,15.92289257,4.01873589,5.62666368,0.71334076,11.60607147,1.73335862,9.43552876,0.71927959,-0.93492347,1.72926962,0.18882186,0.00970337,12.10364819,5.91147757,1.81761825,1.31460905,0.12072176,7.60353756,2.06489706,4.16784048,0.41496912,-0.65975994,0.75207174,0.38604032,0.01519429,17.56763649,9.90182304,3.25398731,0.12415382,0.00067478,8.38350582,2.12854886,0.87614894,0.01330283,-0.88028127,1.41463041,0.23458673,0.02593616,23.28467941,15.92289257,4.01873589,5.62666368,0.71334076,11.60607147,1.73335862,9.43552876,0.71927959,-0.93492347,1.72926962,0.18882186,
0.00,0.00,0.00,0.00,62.00,111.00,19.00,135.00,3.03,0.00,-9.81115818,-6.63161850,-8.84975243,-9.99520779,-8.82193375,13.12705421,0.00030642,26.54,0.00047138,-1.13698208,-0.86582649,0.27115560,1.29763973,0.25558813,-53.82602310,-10.80933857,43.01668167,10.58095264,3.93,2.58,0.00845400,0.78092134,-11.13129807,0.50063252,12.56477547,0.73189878,15.73488235,0.88498688,12.59931278,0.59145331,-11.35317039,12.33253765,0.00046610,0.01751896,1.83071518,14.77494812,0.49235764,27.23173904,1.68630981,0.06880005,0.00008621,18.84739494,0.64598769,-11.98274136,14.45303726,0.00015287,0.03516875,2.02259731,33.13992691,0.80018634,71.76348877,3.88024664,13.28181744,0.11420118,24.33012772,0.37061355,-12.26718140,15.63311291,0.00008261,0.00195341,0.02779512,13.85859394,0.56516755,24.28458405,2.33115363,46.43621445,4.35708046,45.47172546,2.79431915,-9.56389999,8.94137096,0.00285980,-0.00015884,0.00008682,22.35650635,0.93378198,43.44527054,4.39541721,50.96031189,4.42728138,56.06497192,3.06554842,-9.37123966,9.02490997,0.00273318,0.01186383,0.27233812,23.28101349,0.48024839,56.61548996,4.03666353,116.89800262,9.82837582,34.57418442,0.53988767,-10.42770767,12.02379704,0.00054883,0.00195341,0.02779512,13.85859394,0.56516755,24.28458405,2.33115363,46.43621445,4.35708046,45.47172546,2.79431915,-9.56389999,8.94137096,0.00285980,-0.00015884,0.00008682,22.35650635,0.93378198,43.44527054,4.39541721,50.96031189,4.42728138,56.06497192,3.06554842,-9.37123966,9.02490997,0.00273318,0.01186383,0.27233812,23.28101349,0.48024839,56.61548996,4.03666353,116.89800262,9.82837582,34.57418442,0.53988767,-10.42770767,12.02379704,0.00054883,
0.00,0.00,5.00,0.31,62.00,112.00,15.00,148.00,18.20,0.66,4.90514278,3.92534423,5.58804321,5.30592775,4.93111467,79.08320618,0.00000000,6.04,0.00000000,1.03049278,1.03363872,0.00314584,0.00052251,0.98177885,3.18838668,4.50744104,1.31905448,2.71097612,6.28,0.00,0.01864249,79.55136108,-1.66122532,0.23365234,0.31120077,0.00945870,-3.64767313,0.99642867,0.05828862,0.00033781,0.87006086,1.51733267,0.21832872,0.02761589,96.76228333,-0.78932369,0.02991434,3.23124790,0.50499070,-6.53095961,1.72660744,-4.79252481,0.88837564,0.72774029,1.13393676,0.28720803,0.05551568,107.58073425,-16.48629379,4.22714281,-1.31245422,0.02768040,-15.40812874,3.28151131,-8.33108234,0.92746633,0.72726947,1.17289925,0.27908141,0.02369739,85.71465302,0.51033825,0.01607176,3.49170256,1.01144171,-3.11714315,0.41207302,-5.54479408,0.87202060,0.71169442,1.03921235,0.30826454,0.03216670,93.08209991,-3.88531232,0.59232545,3.78208160,0.69956511,-4.90025854,0.85974085,-9.00117302,1.65953684,0.79695690,1.37086725,0.24195684,0.04346080,74.90747070,-10.72648048,2.08952522,-1.92617762,0.09581499,-5.35842276,0.42330369,-5.05176926,0.23624697,1.55936241,5.51153708,0.01909602,0.02369739,85.71465302,0.51033825,0.01607176,3.49170256,1.01144171,-3.11714315,0.41207302,-5.54479408,0.87202060,0.71169442,1.03921235,0.30826454,0.03216670,93.08209991,-3.88531232,0.59232545,3.78208160,0.69956511,-4.90025854,0.85974085,-9.00117302,1.65953684,0.79695690,1.37086725,0.24195684,0.04346080,74.90747070,-10.72648048,2.08952522,-1.92617762,0.09581499,-5.35842276,0.42330369,-5.05176926,0.23624697,1.55936241,5.51153708,0.01909602,
