x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
-0.48,8.63,0.00,0.44,105.00,192.00,15.00,3.08,178.00,20.74,0.62,5.38176203,4.39474058,5.76492214,5.20022678,5.18541288,124.80586243,0.00000000,4.57,4.89692688,5.08332205,5.52087069,4.56723881,4.07722425,4.39226246,6.42561102,5.54648733,5.07154894,5.05954552,116.15454102,0.00000000,1.42569625,-1.36073828,-2.78643465,286.56210327,0.00000000,4.74426317,3.03217125,-1.71209180,4.42784023,2.54,3.95,0.01563957,29.75005150,9.23031998,7.37731934,2.29894137,0.38542745,2.04646254,0.38401112,2.68109512,0.31319520,1.56930041,3.91706467,0.04808695,0.02175315,22.49163246,-0.39252391,0.00297133,8.50580692,1.04442084,2.89327693,0.29796821,-9.26924515,2.24010062,2.22011971,8.25155544,0.00416243,0.01523934,4.84475040,-20.15276337,5.42219019,17.07425499,6.13340855,-1.65353560,0.06698151,-7.46445847,0.87959236,4.18866873,41.51151657,0.00000000,0.02047467,52.29161835,2.72602963,0.60155016,2.55659890,0.48359916,-2.79298735,0.83361644,-9.30945969,5.02691889,-0.41566810,0.21653122,0.64180252,0.02843590,47.37620926,5.55116606,2.18651628,3.39987469,0.54165447,-1.39567089,0.13354816,-8.64461994,4.37121487,0.32890296,0.15335079,0.69544149,0.03024547,24.41104317,2.94602060,0.40570435,3.36563230,0.44820404,1.82245445,0.20923644,-11.68092632,3.42048001,2.64294553,14.18063927,0.00017629,0.02047467,52.29161835,2.72602963,0.60155016,2.55659890,0.48359916,-2.79298735,0.83361644,-9.30945969,5.02691889,-0.41566810,0.21653122,0.64180252,0.02843590,47.37620926,5.55116606,2.18651628,3.39987469,0.54165447,-1.39567089,0.13354816,-8.64461994,4.37121487,0.32890296,0.15335079,0.69544149,0.03024547,24.41104317,2.94602060,0.40570435,3.36563230,0.44820404,1.82245445,0.20923644,-11.68092632,3.42048001,2.64294553,14.18063927,0.00017629,
-0.88,9.04,11.00,0.42,105.00,192.00,16.00,3.20,172.00,18.18,0.65,5.73163843,4.00923014,4.34020138,3.31106687,4.34803438,57.93134689,0.00000000,5.62,4.77265263,3.95217013,4.81329250,3.30750751,6.32408381,3.63261366,6.29940701,5.20074129,3.43856859,4.63325500,64.51753998,0.00000000,1.54283273,-1.47240162,-3.01523423,280.68801880,0.00000000,-0.15301241,-2.13497424,-1.98196185,5.26621437,2.51,3.70,0.01420070,15.88147354,-3.06957912,0.52828401,8.70906258,3.58170581,2.15061045,0.27456585,-5.44528151,0.83647519,1.03088057,1.09447289,0.29574867,0.01386052,5.98058653,-18.24820328,4.24257851,19.99862289,3.78142476,-12.88931274,3.87374067,-4.69401217,0.37625724,2.51518273,6.93634224,0.00858360,0.02255946,7.00536156,-11.55956841,1.17715228,21.28158951,6.28723192,-7.39099598,0.88301599,-12.90741158,1.73543453,2.87076306,12.86604977,0.00035168,0.01438659,16.33442879,-2.56579828,0.33715200,0.57503211,0.01547125,-3.77015305,0.96109861,-1.74565482,0.11181773,0.43352526,0.14900942,0.69957031,0.01999241,14.83939934,0.02207441,0.00000000,3.25320840,0.31425124,-0.64695841,0.01818584,-3.07840776,0.35122910,0.92726922,0.77241302,0.37969407,0.03340787,19.62385368,1.60314608,0.07915790,4.11278582,0.44104895,9.52040577,3.76273322,-0.77504629,0.00988706,1.59571838,3.40606213,0.06526863,0.01438659,16.33442879,-2.56579828,0.33715200,0.57503211,0.01547125,-3.77015305,0.96109861,-1.74565482,0.11181773,0.43352526,0.14900942,0.69957031,0.01999241,14.83939934,0.02207441,0.00000000,3.25320840,0.31425124,-0.64695841,0.01818584,-3.07840776,0.35122910,0.92726922,0.77241302,0.37969407,0.03340787,19.62385368,1.60314608,0.07915790,4.11278582,0.44104895,9.52040577,3.76273322,-0.77504629,0.00988706,1.59571838,3.40606213,0.06526863,
-0.33,8.73,8.00,0.54,105.00,193.00,15.00,3.14,135.00,14.48,0.63,9.62027168,7.67551374,8.55697536,8.46687984,8.57991028,184.62272644,0.00000000,6.22,7.43516827,9.16947365,8.41477489,10.00063801,5.61156178,8.17411804,8.71775818,8.86000156,8.12427330,8.27036190,168.52488708,0.00000000,2.18550563,-1.31529379,-3.50079942,305.64181519,0.00000000,0.80409527,-4.87131453,-5.67540979,27.40071487,2.55,4.13,0.02739754,49.82758331,-3.73802590,0.66033316,1.87582195,0.14006443,-0.06808186,0.00030919,0.33986762,0.00278274,2.31645107,4.65809536,0.03115767,0.04695552,58.58938599,-6.14784622,0.41104031,-1.50916851,0.01837690,0.74039853,0.01090155,-11.84067822,2.04357314,2.25088024,4.74196577,0.02968111,0.05834818,39.33836365,11.66818905,1.00669754,5.54713202,0.35856658,-6.66950226,0.60359049,-8.21509171,0.59013659,4.73955107,29.43823433,0.00000007,0.02862409,55.26830292,3.32172680,0.48300013,-3.11009765,0.38706389,-1.05011451,0.06378464,0.99089980,0.03080332,0.76100975,0.39245704,0.53116136,0.04003387,50.55097961,-1.60563111,0.09846664,0.76355481,0.01472880,0.31358072,0.00360495,-3.25337934,0.33330339,1.77218997,2.39667392,0.12192693,0.05402258,42.72989273,3.47018576,0.30897063,-1.27072322,0.03508008,-3.12607312,0.33781201,-11.29819965,1.75574279,4.00052071,17.82671547,0.00002652,0.02862409,55.26830292,3.32172680,0.48300013,-3.11009765,0.38706389,-1.05011451,0.06378464,0.99089980,0.03080332,0.76100975,0.39245704,0.53116136,0.04003387,50.55097961,-1.60563111,0.09846664,0.76355481,0.01472880,0.31358072,0.00360495,-3.25337934,0.33330339,1.77218997,2.39667392,0.12192693,0.05402258,42.72989273,3.47018576,0.30897063,-1.27072322,0.03508008,-3.12607312,0.33781201,-11.29819965,1.75574279,4.00052071,17.82671547,0.00002652,
-0.90,9.16,15.00,0.59,105.00,193.00,16.00,3.25,173.00,4.75,0.67,26.59612656,19.96319199,26.82523155,22.39369965,23.94456291,184.75086975,0.00000000,17.34,22.46532440,21.43147850,26.95428276,21.76551056,21.20919609,24.91571808,23.89290810,26.99751282,21.65548325,23.45290375,171.40827942,0.00000000,2.42103791,-1.41701245,-3.83805037,283.83056641,0.00000000,-10.11789989,-21.02759552,-10.90969563,11.45167923,2.50,3.87,0.06424568,34.64509201,-2.56879973,0.03940923,-13.68174362,0.94217247,-7.08337498,0.31746322,20.15786362,1.22179031,9.43058395,9.76222897,0.00183543,0.09597935,30.91576767,-4.59746265,0.02905676,31.09961891,0.98583198,-52.17821884,6.84365463,39.14168167,2.82039428,11.06897068,14.48264599,0.00015052,0.15397245,35.05537415,50.64965057,2.42767954,3.38759065,0.01711250,-16.23442078,0.45765504,0.06117483,0.00000000,13.71970844,31.56692696,0.00000003,0.08429302,62.14647675,18.14538383,1.86885583,5.17007875,0.13867682,-22.36278915,3.74760938,4.35369968,0.07713831,0.89797449,0.07089839,0.79009103,0.10800832,47.54880905,5.60513401,0.15514259,49.59523392,8.01843357,-7.31287575,0.25491515,13.09669399,0.69798195,5.17825222,2.64423895,0.10425791,0.11115582,23.12837029,24.92434120,2.03740978,55.46725082,8.54055119,15.15572262,1.01520050,14.11049461,0.35011604,14.49203777,29.90861320,0.00000006,0.08429302,62.14647675,18.14538383,1.86885583,5.17007875,0.13867682,-22.36278915,3.74760938,4.35369968,0.07713831,0.89797449,0.07089839,0.79009103,0.10800832,47.54880905,5.60513401,0.15514259,49.59523392,8.01843357,-7.31287575,0.25491515,13.09669399,0.69798195,5.17825222,2.64423895,0.10425791,0.11115582,23.12837029,24.92434120,2.03740978,55.46725082,8.54055119,15.15572262,1.01520050,14.11049461,0.35011604,14.49203777,29.90861320,0.00000006,
0.53,8.47,0.00,0.66,105.00,194.00,15.00,3.20,149.00,13.73,0.67,15.35430241,13.85017395,15.34680080,14.57780170,14.78226948,352.84197998,0.00000000,7.75,12.30390263,17.96659660,14.70993423,14.54825115,12.45383358,14.01104164,13.73634529,16.41219330,14.22597313,14.47085571,334.90493774,0.00000000,2.83650184,-1.19402492,-4.03052664,329.63497925,0.00000000,3.68361115,1.73650217,-1.94710898,1.82580566,2.55,4.13,0.02589636,28.02062798,-8.83081150,2.31971526,-3.47716689,0.30295515,-0.91293764,0.02627341,5.21625662,0.40727034,8.90000439,43.28094101,0.00000000,0.05892433,59.43194580,-9.80905151,0.67406499,-14.72938442,1.12790012,-2.13968801,0.05865215,6.01361227,0.33954042,6.82772398,28.10548019,0.00000014,0.06659634,32.78484344,10.22144318,0.49425828,-8.61895370,0.55379099,-8.93913937,0.69365692,15.62698936,1.36605680,10.36403084,90.05444336,0.00000000,0.04029580,71.44847870,-2.77672505,0.22015017,-4.66216993,0.56735688,-3.32495689,0.41675633,-5.28624821,0.57175452,3.81869292,6.44673347,0.01127435,0.05505525,62.48108673,-9.53580093,2.26997352,-8.63100815,1.22821712,2.33326459,0.13126293,-5.25430918,0.56820017,5.49954987,15.08392811,0.00010996,0.07903394,59.98365402,0.41158780,0.00288442,-11.13349724,1.76526690,-0.14506918,0.00046956,-7.72611427,0.53851503,8.14695644,48.48996735,0.00000000,0.04029580,71.44847870,-2.77672505,0.22015017,-4.66216993,0.56735688,-3.32495689,0.41675633,-5.28624821,0.57175452,3.81869292,6.44673347,0.01127435,0.05505525,62.48108673,-9.53580093,2.26997352,-8.63100815,1.22821712,2.33326459,0.13126293,-5.25430918,0.56820017,5.49954987,15.08392811,0.00010996,0.07903394,59.98365402,0.41158780,0.00288442,-11.13349724,1.76526690,-0.14506918,0.00046956,-7.72611427,0.53851503,8.14695644,48.48996735,0.00000000,
-0.44,8.96,0.00,0.73,105.00,194.00,16.00,3.23,160.00,3.74,0.71,52.36104202,41.32131577,54.31809616,51.69707870,49.92438126,437.27676392,0.00000000,23.50,42.09629822,54.41486740,49.88796616,41.39644241,38.71081161,55.99872208,52.18440247,48.71850204,49.88991165,48.09606934,396.37008667,0.00000000,3.17925477,-1.29355478,-4.47280931,303.58193970,0.00000000,19.50474739,-0.78079587,-20.28554153,28.08223343,2.50,3.87,0.08881246,36.59342194,-16.68682671,0.91962844,4.39399481,0.05370598,15.10249424,0.79763746,76.57357788,9.74458122,29.27595520,51.99873734,0.00000000,0.15309770,43.23410034,65.53433990,3.24213672,26.01890945,0.37925056,21.40529442,0.63298750,55.21950150,3.08514380,28.73012161,53.62555313,0.00000000,0.16664517,22.09393692,-1.87894666,0.00179656,-54.58200455,2.39031816,-7.42751265,0.05153871,58.93028641,2.09085464,38.94150543,136.83256531,0.00000000,0.14704403,108.08623505,25.36614609,2.08734941,-30.30593872,2.72357082,-28.97474480,3.59566188,-53.28891754,6.60097265,10.14684772,5.17105818,0.02318881,0.20767911,100.26483154,-0.59979737,0.00103243,-22.68351555,0.95669389,-35.62918091,3.45127630,-54.61812592,6.92344427,14.58158302,11.95858288,0.00056813,0.19288087,37.94905090,-7.27545547,0.09456795,15.20277214,0.34959930,-34.77827454,2.91302347,-66.51303101,4.23936892,33.10971451,85.07256317,0.00000000,0.14704403,108.08623505,25.36614609,2.08734941,-30.30593872,2.72357082,-28.97474480,3.59566188,-53.28891754,6.60097265,10.14684772,5.17105818,0.02318881,0.20767911,100.26483154,-0.59979737,0.00103243,-22.68351555,0.95669389,-35.62918091,3.45127630,-54.61812592,6.92344427,14.58158302,11.95858288,0.00056813,0.19288087,37.94905090,-7.27545547,0.09456795,15.20277214,0.34959930,-34.77827454,2.91302347,-66.51303101,4.23936892,33.10971451,85.07256317,0.00000000,
-1.80,9.60,20.00,0.76,105.00,194.00,17.00,3.35,178.00,11.73,0.73,15.45221615,11.05460453,12.31064987,12.06097317,12.71961117,246.18087769,0.00000000,7.98,9.74991131,14.79473114,13.25298691,12.01672077,12.80326748,13.57594013,11.56710529,13.28293896,11.74848270,12.51992130,230.00294495,0.00000000,2.91949534,-1.38512897,-4.30462408,294.60122681,0.00000000,14.02759743,9.01971436,-5.00788355,13.18378067,2.40,3.04,0.02273050,20.23431969,-8.37987041,1.95782471,5.78684521,0.78637677,4.79510927,0.67881471,-4.66127110,0.30480993,7.44379854,28.37766457,0.00000012,0.04307984,29.19602776,-0.30693960,0.00061465,7.61881685,0.27733094,16.58886909,3.24259615,15.80560780,2.15576863,6.67587090,24.69443893,0.00000080,0.05491968,20.71093559,7.46035576,0.24464071,-1.13857985,0.00902487,-3.40548420,0.09351950,-9.70479965,0.48946312,9.13992405,65.05844116,0.00000000,0.04259980,75.83473206,5.99783564,0.97552603,-6.03458166,0.90266520,-12.03803825,5.18834925,-6.63137102,0.85447681,1.17889321,0.58346522,0.44514712,0.05738514,64.01030731,0.91311711,0.01961400,-4.35994911,0.29554293,-19.93137741,9.03094387,-2.28752398,0.10156114,2.84610152,3.80943155,0.05125857,0.05629859,27.96570015,8.99295139,1.25023246,-2.89537358,0.10964572,-19.49986076,7.92136431,12.76774025,1.35118794,7.81407309,40.98654556,0.00000000,0.04259980,75.83473206,5.99783564,0.97552603,-6.03458166,0.90266520,-12.03803825,5.18834925,-6.63137102,0.85447681,1.17889321,0.58346522,0.44514712,0.05738514,64.01030731,0.91311711,0.01961400,-4.35994911,0.29554293,-19.93137741,9.03094387,-2.28752398,0.10156114,2.84610152,3.80943155,0.05125857,0.05629859,27.96570015,8.99295139,1.25023246,-2.89537358,0.10964572,-19.49986076,7.92136431,12.76774025,1.35118794,7.81407309,40.98654556,0.00000000,
1.48,8.23,0.00,0.73,105.00,195.00,15.00,3.34,123.00,16.62,0.69,10.39989758,9.16216564,10.27373505,8.69856739,9.63359165,310.67257690,0.00000000,5.38,9.61870956,10.38698006,10.43017673,8.40360546,7.75274563,9.76035500,11.58683586,10.52960873,8.51848507,9.65561295,308.63827515,0.00000000,2.95083189,-1.13278043,-4.08361244,347.87695312,0.00000000,5.75948191,0.24145901,-5.51802301,37.49209976,2.57,4.31,0.01801373,28.11911201,-4.07615614,1.02500463,1.79800844,0.16797510,2.23374748,0.32592684,-2.45019364,0.18634002,5.48926163,34.14590073,0.00000001,0.02968444,30.45475388,-14.55978394,2.99855018,-5.92348623,0.36831170,-7.79976749,1.57486176,0.35199043,0.00236314,5.67927742,39.26371765,0.00000000,0.03478492,18.34085655,-23.42413902,5.32268381,7.08887482,0.76820517,2.89533830,0.14921539,1.11805415,0.01437335,7.34961939,92.86290741,0.00000000,0.02414227,52.19872665,-0.79331315,0.03662798,2.12996221,0.24104239,-5.04050970,1.94947600,-7.34655380,2.24766350,3.04849505,8.36212635,0.00391868,0.02943379,36.02975082,2.53756499,0.32430971,9.25453091,2.84884644,-3.70204210,0.66661400,-2.46517110,0.25233144,4.54495907,20.78447723,0.00000581,0.03949817,30.27041245,2.06255722,0.14461532,10.60981750,3.23900366,0.53943753,0.01328238,6.33320618,0.73107314,6.23517084,57.38747787,0.00000000,0.02414227,52.19872665,-0.79331315,0.03662798,2.12996221,0.24104239,-5.04050970,1.94947600,-7.34655380,2.24766350,3.04849505,8.36212635,0.00391868,0.02943379,36.02975082,2.53756499,0.32430971,9.25453091,2.84884644,-3.70204210,0.66661400,-2.46517110,0.25233144,4.54495907,20.78447723,0.00000581,0.03949817,30.27041245,2.06255722,0.14461532,10.60981750,3.23900366,0.53943753,0.01328238,6.33320618,0.73107314,6.23517084,57.38747787,0.00000000,
0.04,8.75,21.00,0.81,105.00,195.00,16.00,3.22,150.00,14.31,0.76,17.70510864,15.46606350,15.27174950,14.14027786,15.64579964,568.71710205,0.00000000,6.46,15.56670666,16.62849236,16.28188705,15.62767887,15.12854767,15.46612835,15.42156315,18.01824760,14.04894352,15.78288937,560.68676758,0.00000000,3.31544948,-1.27846348,-4.59391308,331.38018799,0.00000000,11.32467556,1.25680661,-10.06786919,101.66162872,2.53,4.13,0.03105743,59.87763977,-5.59213638,1.38202000,-0.11839913,0.00048191,-1.11411834,0.05802190,0.18373927,0.00067467,8.57527065,59.69605255,0.00000000,0.05899863,88.59030914,1.54417241,0.02485969,1.37072289,0.01451806,-0.02429726,0.00000000,16.79707527,3.93886971,7.57903481,51.49188614,0.00000000,0.06797374,49.98056030,-12.56397629,1.09272778,-4.63833380,0.23463306,0.41579691,0.00219462,12.28174782,1.23480535,11.15948009,152.78533936,0.00000000,0.05393394,210.89393616,4.72466087,1.05029392,1.79198861,0.13811442,-3.54179335,0.77919281,-6.71972036,1.52226853,0.87718618,0.56048375,0.45425090,0.06031395,113.31188965,-0.73868459,0.02054697,2.87420797,0.20577490,1.35604072,0.06693024,-3.71599245,0.42945212,5.38159513,21.82587242,0.00000342,0.06800877,64.69892883,3.64497447,0.32557985,16.07028198,5.35731268,-2.90219378,0.27818903,5.89629984,0.45690617,9.77202415,101.62312317,0.00000000,0.05393394,210.89393616,4.72466087,1.05029392,1.79198861,0.13811442,-3.54179335,0.77919281,-6.71972036,1.52226853,0.87718618,0.56048375,0.45425090,0.06031395,113.31188965,-0.73868459,0.02054697,2.87420797,0.20577490,1.35604072,0.06693024,-3.71599245,0.42945212,5.38159513,21.82587242,0.00000342,0.06800877,64.69892883,3.64497447,0.32557985,16.07028198,5.35731268,-2.90219378,0.27818903,5.89629984,0.45690617,9.77202415,101.62312317,0.00000000,
-3.48,10.15,19.00,0.82,105.00,195.00,17.00,3.57,178.00,15.84,0.76,13.90231323,11.74907494,12.33869076,12.00765228,12.49943256,445.28125000,0.00000000,5.83,12.61892319,12.21115494,14.64356232,11.01689243,11.77478409,12.15489197,12.24127007,13.68234158,11.92579174,12.46192741,432.35317993,0.00000000,3.09783936,-1.47503746,-4.57287693,324.56240845,0.00000000,7.97467232,1.39190328,-6.58276892,47.54496765,2.35,2.83,0.02541715,48.93109512,-0.84941638,0.03886551,6.64839983,2.00742435,2.11858797,0.25624192,0.91442239,0.02263725,6.62464619,43.46822739,0.00000000,0.03561241,37.50368500,-0.42917183,0.00225299,-18.91084671,3.21195555,-1.34232175,0.03991837,-2.79548693,0.12680292,7.74615860,62.49599075,0.00000000,0.03396812,14.85824394,-22.49696159,4.17091751,-0.14597179,0.00028397,-15.90302944,3.82447219,-5.79390574,0.32713524,10.37198448,157.11653137,0.00000000,0.03054617,73.31008911,8.24272251,3.46421313,-7.85397387,2.87499547,-3.28998804,0.72862458,-8.92197704,2.90821648,4.22184706,14.07001019,0.00018680,0.03455830,42.78959274,10.44672680,4.73527575,-3.11432028,0.27793655,-1.11683333,0.05224107,-3.41749239,0.41775307,6.62998009,38.10363007,0.00000000,0.04539977,34.20568085,11.16964245,3.62769103,4.77923775,0.56217706,-1.40453076,0.07732181,-8.61608887,1.15739262,8.68128204,95.15143585,0.00000000,0.03054617,73.31008911,8.24272251,3.46421313,-7.85397387,2.87499547,-3.28998804,0.72862458,-8.92197704,2.90821648,4.22184706,14.07001019,0.00018680,0.03455830,42.78959274,10.44672680,4.73527575,-3.11432028,0.27793655,-1.11683333,0.05224107,-3.41749239,0.41775307,6.62998009,38.10363007,0.00000000,0.04539977,34.20568085,11.16964245,3.62769103,4.77923775,0.56217706,-1.40453076,0.07732181,-8.61608887,1.15739262,8.68128204,95.15143585,0.00000000,
