x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
-6.46,-1.18,0.00,0.15,79.00,159.00,2.00,3.90,142.00,20.28,0.70,0.09365159,-0.55489951,-0.86016679,0.00497202,-0.32911068,0.48846596,0.48478275,4.48,0.61882001,0.14440881,-0.63263535,-0.11778440,-0.36102843,-1.48292780,-0.19375937,-1.53902555,0.01118033,-0.39435545,0.69170088,0.40579567,1.35160160,0.89235622,-0.45924535,9.21408749,0.00262033,-0.59964049,-1.34049749,-0.74085701,0.86259657,6.28,0.00,-0.00064254,0.15871960,-4.58235550,2.76582551,-1.03776491,0.10468338,1.16030633,0.14459863,-0.42380151,0.01863967,-0.19696510,0.09602253,0.75672403,-0.00073555,0.08474780,-3.81806064,0.65111113,1.47546220,0.18340099,3.28029537,0.65618473,-1.03472722,0.08935161,-0.24695763,0.16789834,0.68207889,-0.00322589,0.56212771,-8.05146027,1.41708910,-2.25268054,0.22861743,4.97768164,1.10702443,2.47983718,0.25526437,-0.12785491,0.04886839,0.82509175,0.00050183,0.09098985,3.14306164,0.72565585,0.29587948,0.00716604,5.74144173,1.97075534,-5.50855064,1.94652283,-0.46225065,0.45796654,0.49874076,0.00040420,0.02778671,1.20414782,0.04398778,-7.62252188,1.99423814,1.44580209,0.07450606,-5.71235132,1.92199266,-0.36210671,0.34333071,0.55805228,0.00277520,0.57396877,0.63997883,0.00958808,-10.57663822,1.77990484,-0.55447322,0.00676806,-0.76901001,0.02472221,-0.60983837,1.02865064,0.31073431,0.00050183,0.09098985,3.14306164,0.72565585,0.29587948,0.00716604,5.74144173,1.97075534,-5.50855064,1.94652283,-0.46225065,0.45796654,0.49874076,0.00040420,0.02778671,1.20414782,0.04398778,-7.62252188,1.99423814,1.44580209,0.07450606,-5.71235132,1.92199266,-0.36210671,0.34333071,0.55805228,0.00277520,0.57396877,0.63997883,0.00958808,-10.57663822,1.77990484,-0.55447322,0.00676806,-0.76901001,0.02472221,-0.60983837,1.02865064,0.31073431,
-6.61,-1.69,0.00,0.21,79.00,160.00,2.00,4.16,145.00,22.21,0.74,-0.02596413,-0.48972803,-0.05575152,-0.26320896,-0.20866317,0.16199324,0.68741815,4.94,-0.10348828,-0.70822901,-0.18237381,-1.13243294,0.14961849,0.37012115,0.71616834,-0.59902525,-0.27318332,-0.19567353,0.14014916,0.70821640,1.70274472,1.39327145,-0.30947325,3.30341959,0.07017125,-0.54715961,-0.18928950,0.35787010,0.25921085,6.28,0.00,-0.00076712,0.18663111,-4.23114014,1.94464350,2.59874845,0.54133892,-1.53864574,0.20968829,1.71585715,0.25223148,-0.07838261,0.01249901,0.91100646,-0.00170208,0.37538433,-9.34885693,3.22967339,2.55453849,0.45482990,1.17554176,0.06972867,-1.30881441,0.11823557,0.00690082,0.00007774,0.99296718,-0.00148991,0.09867462,2.08074403,0.07790101,1.89110446,0.13262551,-6.34225368,1.47949922,-0.32037315,0.00348811,-0.08694891,0.01860323,0.89153902,0.00020218,0.01217502,4.61425447,1.28628731,-1.29904807,0.11391789,3.85316801,0.73003608,0.80111486,0.03388844,-0.27947903,0.13764755,0.71071376,0.00146936,0.30200091,-5.38575268,0.72297424,0.66585207,0.01254787,-0.08679428,0.00023237,-1.96475577,0.18697877,-0.43697718,0.41105896,0.52158731,0.00145838,0.13065465,0.51519912,0.00511459,5.19775629,0.35437942,3.13297558,0.17846836,4.63930941,0.74239117,-0.36507100,0.30393091,0.58155830,0.00020218,0.01217502,4.61425447,1.28628731,-1.29904807,0.11391789,3.85316801,0.73003608,0.80111486,0.03388844,-0.27947903,0.13764755,0.71071376,0.00146936,0.30200091,-5.38575268,0.72297424,0.66585207,0.01254787,-0.08679428,0.00023237,-1.96475577,0.18697877,-0.43697718,0.41105896,0.52158731,0.00145838,0.13065465,0.51519912,0.00511459,5.19775629,0.35437942,3.13297558,0.17846836,4.63930941,0.74239117,-0.36507100,0.30393091,0.58155830,
-6.48,-2.01,0.00,0.16,79.00,160.00,3.00,4.24,144.00,22.02,0.72,0.72030801,0.51749200,0.37200126,0.58785266,0.54941344,1.05814528,0.30389931,5.09,0.30659428,0.16905016,1.13756299,0.19316415,0.43834388,1.76560628,0.01749913,0.25467986,0.59440655,0.54133672,1.01094770,0.31493220,1.12953734,0.68042207,-0.44911528,11.53106117,0.00078032,2.96943259,3.31914401,0.34971154,0.25103793,6.28,0.00,0.00321512,3.09302425,1.40390623,0.20200239,1.72369766,0.22470751,-2.48120427,0.51452750,-0.68948507,0.03845223,-0.28817350,0.16003452,0.68921476,0.00263878,0.85289264,-1.12078655,0.04387187,6.07012606,2.42801762,-9.37791538,4.19479752,-1.17721403,0.09046277,0.21105583,0.09590082,0.75687338,-0.00035704,0.00534911,4.14736128,0.29258898,0.82167840,0.02366798,-11.02877808,4.22924089,-2.23329496,0.16113278,0.60556489,0.85417229,0.35560963,0.00315377,2.79033923,2.42834568,0.33626661,-0.94938064,0.05745957,0.67421770,0.02108071,0.42719376,0.00907642,-0.38413510,0.24550243,0.62037463,0.00562848,4.19848633,-0.21204038,0.00110069,2.63633657,0.18587048,-6.09515762,1.03149688,2.82020640,0.36499006,-0.39916041,0.32499817,0.56875423,0.00937152,5.13131666,10.57730961,2.04338861,11.23263073,1.57381022,-3.25351453,0.18305603,-1.69221020,0.09388622,-0.36755750,0.29293385,0.58847358,0.00315377,2.79033923,2.42834568,0.33626661,-0.94938064,0.05745957,0.67421770,0.02108071,0.42719376,0.00907642,-0.38413510,0.24550243,0.62037463,0.00562848,4.19848633,-0.21204038,0.00110069,2.63633657,0.18587048,-6.09515762,1.03149688,2.82020640,0.36499006,-0.39916041,0.32499817,0.56875423,0.00937152,5.13131666,10.57730961,2.04338861,11.23263073,1.57381022,-3.25351453,0.18305603,-1.69221020,0.09388622,-0.36755750,0.29293385,0.58847358,
-6.88,-2.27,0.00,0.23,79.00,161.00,2.00,4.57,154.00,20.38,0.74,1.42084837,0.23223870,0.42428395,0.08641119,0.54094553,1.14543402,0.28477771,4.81,0.63573176,1.24748886,1.17999303,0.16329752,0.25673598,1.37995696,-0.18170869,0.66251081,0.04426914,0.59809858,1.37132132,0.24187894,1.54903758,1.24571431,-0.30332330,2.15327311,0.14335372,1.00500774,2.67788506,1.67287731,5.10864449,6.28,0.00,0.00454212,6.91994190,-2.43687677,0.68219113,0.26549026,0.00599350,-2.08162212,0.40591562,1.45550501,0.19195606,-0.69996876,1.05830348,0.30386456,0.00783628,8.42639828,4.55015516,0.81023699,0.06922846,0.00041162,-0.03377639,0.00008232,1.93037736,0.27249384,-0.62560332,0.94409651,0.33147413,0.01343036,8.52464199,-5.49451208,0.57736522,-5.66211319,1.26354754,-7.08349228,1.96126246,-3.06421614,0.34094945,-0.49031797,0.62950850,0.42773398,0.00653799,13.57890129,-3.11120415,0.62502134,-1.40746081,0.14297332,-7.86855459,3.25374103,2.42431545,0.33144945,-1.39453077,3.66384673,0.05590563,0.00930183,13.08288002,6.26485682,1.05738676,8.84124660,2.38460398,-4.61371565,0.67428291,10.26454067,5.51582527,-1.07504869,2.68934560,0.10135270,0.01435189,13.68972206,3.64457631,0.27596900,18.30917740,4.75660896,-12.38205719,3.01604271,8.02576923,2.40341163,-0.87035573,1.86849117,0.17197170,0.00653799,13.57890129,-3.11120415,0.62502134,-1.40746081,0.14297332,-7.86855459,3.25374103,2.42431545,0.33144945,-1.39453077,3.66384673,0.05590563,0.00930183,13.08288002,6.26485682,1.05738676,8.84124660,2.38460398,-4.61371565,0.67428291,10.26454067,5.51582527,-1.07504869,2.68934560,0.10135270,0.01435189,13.68972206,3.64457631,0.27596900,18.30917740,4.75660896,-12.38205719,3.01604271,8.02576923,2.40341163,-0.87035573,1.86849117,0.17197170,
-6.52,-2.53,0.00,0.22,79.00,161.00,3.00,4.52,152.00,21.77,0.69,-1.05847549,-0.23931277,-0.84990245,-1.14985466,-0.82438636,2.92018962,0.08780284,4.59,-1.50346959,0.21120881,-0.25359809,-0.82817930,-1.37192976,-0.42805758,-0.97649872,-0.58795452,-1.13480735,-0.76293474,2.45849276,0.11722426,0.95908535,0.55653632,-0.40254906,8.06233120,0.00484018,1.86937213,3.56700468,1.69763255,5.63746452,6.28,0.00,0.00154399,0.87824553,-5.94947195,4.46616554,-6.69420624,4.17281580,0.06425329,0.00045089,-0.42208809,0.01776511,-1.25971127,3.76494002,0.05263365,-0.00044477,0.02964984,-0.95028907,0.03854480,-4.84055042,1.88770664,3.73755956,0.81465191,5.34916830,2.28321767,-0.83892953,1.85284567,0.17377590,0.00264386,0.36085549,-14.56932640,4.43474293,-3.46479940,0.51689625,-0.48258740,0.00989878,5.96216583,1.41030610,-1.13118219,3.66029859,0.05602432,0.00084595,0.24692611,-6.17278433,2.67216730,-3.33343005,0.87085789,-8.01858902,3.66995406,-2.83100533,0.49079153,-1.09648478,2.46007919,0.11710625,0.00028304,0.01298633,0.10646635,0.00035824,-7.84244537,2.00714874,0.88982534,0.02686826,0.65759528,0.02427100,-0.86142868,1.84719300,0.17443311,0.00053978,0.02077452,-2.11970949,0.10018536,-19.41805267,5.73970366,-2.65969467,0.14928877,-1.52299917,0.09281085,-0.87877846,2.04354739,0.15318193,0.00084595,0.24692611,-6.17278433,2.67216730,-3.33343005,0.87085789,-8.01858902,3.66995406,-2.83100533,0.49079153,-1.09648478,2.46007919,0.11710625,0.00028304,0.01298633,0.10646635,0.00035824,-7.84244537,2.00714874,0.88982534,0.02686826,0.65759528,0.02427100,-0.86142868,1.84719300,0.17443311,0.00053978,0.02077452,-2.11970949,0.10018536,-19.41805267,5.73970366,-2.65969467,0.14928877,-1.52299917,0.09281085,-0.87877846,2.04354739,0.15318193,
-6.21,-2.87,0.00,0.21,79.00,161.00,4.00,4.55,154.00,22.83,0.61,-0.73761827,-0.28334054,0.01891090,0.18937901,-0.20316723,0.18653615,0.66591292,4.48,-0.20393181,-0.44003826,0.20907374,-1.14104199,-1.35994601,0.01324656,0.60350823,-0.23721230,0.17965078,-0.26381272,0.30963540,0.57803519,0.73116612,0.21704753,-0.51411861,15.67049599,0.00009497,5.35590935,5.17089653,-0.18501277,0.05485765,6.28,0.00,0.00029010,0.03262278,-6.64451313,5.85815954,3.41505480,1.14208174,-2.03738427,0.44913220,-3.52016068,1.29694510,-0.33131993,0.27387962,0.60086326,-0.00179974,0.51083964,-6.90341711,2.14346361,5.95674467,3.01044345,1.04850984,0.06746224,3.43223071,0.98988777,-0.02569660,0.00179773,0.96618902,-0.00619626,2.07424855,1.34320498,0.03945658,1.08211732,0.05273433,-0.49210724,0.01082937,0.37807471,0.00593261,0.27566388,0.22741681,0.63355566,-0.00175425,1.11333215,-1.79328227,0.23646744,-2.35533452,0.45594320,1.43629956,0.12347282,-4.73694324,1.44098818,0.30322480,0.19729219,0.65701671,-0.00201240,0.69403064,-9.68542004,2.86446595,-8.33727169,2.40339184,-4.10872412,0.60606694,-5.98721409,2.12697530,0.19307207,0.09830678,0.75394001,-0.00501690,1.89673495,-11.81744480,3.28979659,-6.01892471,0.58285034,-1.12331009,0.02813498,-9.19535637,3.57722974,0.28213295,0.22260854,0.63716795,-0.00175425,1.11333215,-1.79328227,0.23646744,-2.35533452,0.45594320,1.43629956,0.12347282,-4.73694324,1.44098818,0.30322480,0.19729219,0.65701671,-0.00201240,0.69403064,-9.68542004,2.86446595,-8.33727169,2.40339184,-4.10872412,0.60606694,-5.98721409,2.12697530,0.19307207,0.09830678,0.75394001,-0.00501690,1.89673495,-11.81744480,3.28979659,-6.01892471,0.58285034,-1.12331009,0.02813498,-9.19535637,3.57722974,0.28213295,0.22260854,0.63716795,
-6.01,-3.23,0.00,0.21,79.00,161.00,5.00,4.67,152.00,20.00,0.64,0.39565462,1.35132635,0.97474962,0.75751388,0.86981112,3.03632021,0.08174252,4.75,0.36653095,1.05250418,-0.04659758,-0.25859678,1.47334766,1.97439706,1.36775243,1.75821090,0.83238149,0.94571227,3.54341030,0.06008818,0.56762981,-0.07775754,-0.64538735,23.39140511,0.00000215,3.83950949,4.54679728,0.70728767,0.87591803,6.28,0.00,0.00342898,4.10231400,-0.79894030,0.07626294,6.08523750,3.26547146,10.79520512,11.35600471,-0.65033382,0.03988219,-0.05547654,0.00691747,0.93373286,0.00791273,8.85432434,0.36909226,0.00551470,4.61153650,1.61792946,7.78208780,3.33495378,0.08067109,0.00050905,-0.36083481,0.32367072,0.56954460,0.01331357,8.64222240,-1.67087173,0.05506874,8.22077560,2.74799800,8.98809910,3.25772357,-8.36887741,2.62400818,-0.08864596,0.02124565,0.88414268,0.00391591,4.94677019,-0.57324338,0.02154685,-0.20342113,0.00303003,4.92608356,1.29499948,-0.49855760,0.01422429,-0.27154231,0.14106454,0.70730893,0.00568293,4.89920664,3.42725873,0.31749761,1.79749906,0.09886102,0.38740572,0.00478766,-1.49732435,0.11775970,-0.08040100,0.01511893,0.90216554,0.00989379,6.53234053,4.56918526,0.43550619,-2.12105608,0.06413911,-5.47037268,0.59114033,1.65479136,0.10260573,-0.10972920,0.02979691,0.86298866,0.00391591,4.94677019,-0.57324338,0.02154685,-0.20342113,0.00303003,4.92608356,1.29499948,-0.49855760,0.01422429,-0.27154231,0.14106454,0.70730893,0.00568293,4.89920664,3.42725873,0.31749761,1.79749906,0.09886102,0.38740572,0.00478766,-1.49732435,0.11775970,-0.08040100,0.01511893,0.90216554,0.00989379,6.53234053,4.56918526,0.43550619,-2.12105608,0.06413911,-5.47037268,0.59114033,1.65479136,0.10260573,-0.10972920,0.02979691,0.86298866,
-5.90,-3.72,0.00,0.19,79.00,161.00,6.00,4.93,153.00,19.71,0.66,0.17837891,0.73354977,1.15540516,0.41524285,0.62064415,1.29009163,0.25631632,5.20,0.11587320,1.04002070,1.64496934,-0.68977368,0.27780291,1.40356255,1.03232801,0.32982275,0.34989890,0.61100000,1.23143303,0.26740964,0.29100767,-0.46138218,-0.75238985,31.71474075,0.00000004,4.14401054,1.95963252,-2.18437839,6.48246622,6.28,0.00,0.00126188,0.45653197,-3.34291482,1.09729087,-2.75865126,0.55148780,7.51527929,4.52285957,1.37690711,0.14682011,0.25839609,0.12323906,0.72562559,0.00090482,0.09572462,-0.23418701,0.00182333,-1.28749955,0.10421010,10.87759686,5.38568449,-3.61874866,0.81558782,0.46546432,0.44517207,0.50479882,-0.00004485,0.00014075,-8.39664650,1.15200126,1.59299624,0.08550806,15.06546021,7.57960367,5.23355865,0.84987271,0.55597091,0.69152445,0.40585553,0.00274429,2.01629925,2.16966319,0.25615886,-2.21250463,0.29772270,1.11860812,0.05539514,-1.66815424,0.13223581,-0.19876902,0.06272993,0.80228628,0.00292716,1.08335876,5.17972088,0.60444069,6.23456669,0.99150956,-8.07004642,1.72504318,1.02656949,0.04613463,0.11600564,0.02618263,0.87148955,0.00631325,2.21676779,1.75745177,0.05366712,-10.02412033,1.19316387,-15.18464947,3.79584384,2.85869050,0.25514680,0.02814230,0.00161352,0.96796711,0.00274429,2.01629925,2.16966319,0.25615886,-2.21250463,0.29772270,1.11860812,0.05539514,-1.66815424,0.13223581,-0.19876902,0.06272993,0.80228628,0.00292716,1.08335876,5.17972088,0.60444069,6.23456669,0.99150956,-8.07004642,1.72504318,1.02656949,0.04613463,0.11600564,0.02618263,0.87148955,0.00631325,2.21676779,1.75745177,0.05366712,-10.02412033,1.19316387,-15.18464947,3.79584384,2.85869050,0.25514680,0.02814230,0.00161352,0.96796711,
-6.97,-2.63,0.00,0.18,79.00,162.00,2.00,4.80,148.00,23.25,0.71,0.04825336,-0.09596439,-0.17436269,-0.01887631,-0.06023751,0.01839726,0.89213726,4.23,0.01927604,0.05412655,0.56298006,-0.58688825,-0.28643769,-0.65856379,-0.22607352,0.11602928,-0.07177967,-0.11958373,0.07109599,0.78980558,0.55904055,0.16635482,-0.39268574,2.49347377,0.11541302,-0.69987679,-1.03411078,-0.33423400,0.22866818,6.28,0.00,0.00389040,6.56739664,-2.06283736,0.63238525,-4.24269390,1.97415936,-3.68564987,1.64628351,0.90662348,0.09633414,-1.10159719,3.39102530,0.06586411,0.00364191,2.33648777,1.99356842,0.19963929,-2.39846230,0.54512411,-4.98243713,1.70279944,-1.25268900,0.14721945,-0.54199570,0.90963227,0.34045487,0.00731455,3.24166036,-5.87603712,0.84653211,-1.92550921,0.18734381,-0.79492432,0.03168159,-0.85000634,0.03358249,-0.63807786,1.36674380,0.24266570,0.00294639,3.51599169,1.00468731,0.08316309,-2.55915546,0.60264182,-1.57173169,0.16558649,1.54709947,0.17213808,-0.94821084,2.15970421,0.14200339,0.00424584,3.46633005,11.84689140,4.80844450,-4.54412699,0.80105251,-6.24880266,1.57282686,3.80013466,0.96139079,-0.79050732,1.84910691,0.17421027,0.00766639,4.93627834,1.70452416,0.07627358,0.34921274,0.00222465,-8.28316975,1.70566809,1.26336396,0.07532016,-0.81072992,2.04879332,0.15265611,0.00294639,3.51599169,1.00468731,0.08316309,-2.55915546,0.60264182,-1.57173169,0.16558649,1.54709947,0.17213808,-0.94821084,2.15970421,0.14200339,0.00424584,3.46633005,11.84689140,4.80844450,-4.54412699,0.80105251,-6.24880266,1.57282686,3.80013466,0.96139079,-0.79050732,1.84910691,0.17421027,0.00766639,4.93627834,1.70452416,0.07627358,0.34921274,0.00222465,-8.28316975,1.70566809,1.26336396,0.07532016,-0.81072992,2.04879332,0.15265611,
-6.73,-3.06,0.00,0.25,79.00,162.00,3.00,4.92,151.00,19.20,0.67,-2.74890351,-1.87874770,-1.60690725,-2.25620651,-2.12269115,20.39134407,0.00000710,4.48,-1.89977324,-2.71970844,-1.48800397,-1.36839628,-2.34571075,-2.23900414,-2.76075912,-2.02458000,-2.28938746,-2.12402105,19.99343681,0.00000871,0.44284001,0.04415339,-0.39868662,6.81957340,0.00948723,-1.82015800,-0.17116702,1.64899099,4.47356176,6.28,0.00,-0.00193216,1.44266510,-2.51432633,0.83669090,-0.23380145,0.00529731,-3.71244478,1.48759758,0.78664213,0.06460824,-1.64776254,6.75718927,0.00948205,-0.00353984,1.97594404,-5.56423092,1.39234662,-2.94745159,0.73694664,1.51721311,0.14133482,1.28434312,0.13859138,-1.63960195,7.45167494,0.00645507,-0.00227943,0.28132761,-3.70572519,0.30095729,-4.44841719,0.89362329,4.41239977,0.87191737,2.01322126,0.16864556,-1.97452974,11.69599915,0.00065303,-0.00259683,2.44501805,-1.67607236,0.20698366,0.47778133,0.01873070,-3.67741823,0.81109595,-1.38678753,0.12373612,-1.35888255,3.97062397,0.04658667,-0.00437710,3.27404952,4.96229887,0.74974906,3.06763124,0.32444343,-4.17649317,0.62447554,-0.48086810,0.01371954,-1.40130186,5.16412878,0.02328098,-0.00409185,1.26410675,-14.75271702,5.13689804,-5.91243172,0.56348652,-10.27310658,2.35851049,-4.23163414,0.75899738,-1.71008193,8.19431496,0.00429463,-0.00259683,2.44501805,-1.67607236,0.20698366,0.47778133,0.01873070,-3.67741823,0.81109595,-1.38678753,0.12373612,-1.35888255,3.97062397,0.04658667,-0.00437710,3.27404952,4.96229887,0.74974906,3.06763124,0.32444343,-4.17649317,0.62447554,-0.48086810,0.01371954,-1.40130186,5.16412878,0.02328098,-0.00409185,1.26410675,-14.75271702,5.13689804,-5.91243172,0.56348652,-10.27310658,2.35851049,-4.23163414,0.75899738,-1.71008193,8.19431496,0.00429463,
