Subject ID,Hemi,Voxels Before Deveining,Voxels After Deveining,Total Dropout Rate,Superficial Dropout Rate,Middle Dropout Rate,Deep Dropout Rate
pnr143,lh,2501.0,2314.0,0.07477009196321471,0.15625,0.04234841193455241,0.033141210374639796
pnr256,lh,787.0,662.0,0.15883100381194404,0.3257575757575758,0.11151079136690645,0.03265306122448974
pnr256,rh,1046.0,805.0,0.23040152963671123,0.33944954128440363,0.2518891687657431,0.09316770186335399
pnr328,lh,3438.0,3022.0,0.12100058173356598,0.21798365122615804,0.10971786833855801,0.03393025447690856
pnr328,rh,3040.0,2572.0,0.1539473684210526,0.315242494226328,0.12449474535165728,0.043756670224119554
pnr495,lh,1862.0,1805.0,0.030612244897959218,0.042735042735042694,0.017910447761193993,0.0329489291598023
pnr495,rh,2317.0,2200.0,0.05049633146309884,0.06025824964131998,0.04653679653679654,0.04597701149425293
pnr510,lh,2095.0,1733.0,0.1727923627684964,0.4340490797546013,0.07729468599033817,0.024390243902439046
pnr510,rh,2895.0,2445.0,0.15544041450777202,0.3369565217391305,0.12310286677908933,0.028376844494892195
pnr579,rh,2776.0,2399.0,0.135806916426513,0.35018495684340323,0.0597920277296361,0.0295930949445129
pnr668,lh,2523.0,2275.0,0.09829567974633369,0.18792866941015085,0.08445642407906562,0.02496328928046987
pnr685,lh,2951.0,2664.0,0.09725516773974918,0.20457142857142863,0.07604251839738352,0.017584994138335253
pnr685,rh,2503.0,2327.0,0.07031562125449464,0.11712846347607053,0.045016077170418,0.05283505154639179
pnr713,lh,2471.0,2065.0,0.1643059490084986,0.38601036269430056,0.08379888268156421,0.04104477611940294
pnr713,rh,2713.0,2502.0,0.07777368227054926,0.1961414790996785,0.005560704355885071,0.031383737517831634
pnr739,lh,2405.0,2132.0,0.11351351351351346,0.28908554572271383,0.0700888450148075,0.008403361344537785
pnr739,rh,2248.0,1748.0,0.22241992882562278,0.4539295392953929,0.17026683608640403,0.04287690179806358
pnr756,lh,2106.0,2069.0,0.017568850902184185,0.02302158273381294,0.011538461538461497,0.019017432646592725
pnr756,rh,2262.0,2076.0,0.08222811671087538,0.17847411444141692,0.03402187120291611,0.03829787234042559
pnr822,lh,2485.0,2373.0,0.04507042253521132,0.08997429305912596,0.03484688489968324,0.011842105263157876
pnr822,rh,2253.0,2157.0,0.04260985352862845,0.12618296529968454,0.01245753114382786,0.006793478260869512
Mean,,2365.5714285714284,2111.6666666666665,0.11025979198409469,0.2300626455719876,0.07584251652975657,0.03299895344835665
Std Dev,,603.0335456198579,550.8237770225004,0.06052872248415655,0.12952931493832867,0.05923173960605018,0.01848771854547575
