x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,1.00,0.00,141.00,126.00,21.00,139.00,29.07,0.60,2.22771931,0.69946676,2.18557692,2.01437879,1.78178549,34.48143768,0.00000001,3.26,0.00000003,1.14040017,1.14557362,0.00517345,0.00262818,0.95914918,-3.07159853,-3.54291725,-0.47131866,0.70802635,0.00,0.00,0.00618551,18.62704659,-6.73922491,3.91784620,-1.49141073,0.29424033,2.91121173,1.87986875,-0.71643728,0.09871581,-0.26622334,0.24184011,0.62299396,0.00794532,26.36359978,-3.48249793,0.81688046,-4.91166878,2.35521412,0.19102617,0.00593000,-0.16038677,0.00191585,-0.54349297,1.01795316,0.31326219,0.01411094,29.55760956,-2.72573805,0.23243169,-9.38631439,3.90584493,3.85617208,0.88349777,2.09415388,0.23665939,-0.38605759,0.61531442,0.43298958,0.00537649,20.54637146,-6.17569256,6.85994434,1.14670110,0.37145269,1.02145112,0.32327265,2.09859300,0.59964514,-0.33238345,0.38754320,0.53374318,0.00912704,23.36554909,-4.78849745,1.71674252,2.81986189,0.86920649,3.82649684,1.83492005,2.06519532,0.36068487,-0.32789686,0.41164723,0.52128955,0.01613607,24.86265182,-3.01789451,0.48578846,4.97829342,1.07426393,6.21834135,2.69585490,2.30886221,0.28206775,0.14828672,0.11545398,0.73409348,0.00537649,20.54637146,-6.17569256,6.85994434,1.14670110,0.37145269,1.02145112,0.32327265,2.09859300,0.59964514,-0.33238345,0.38754320,0.53374318,0.00912704,23.36554909,-4.78849745,1.71674252,2.81986189,0.86920649,3.82649684,1.83492005,2.06519532,0.36068487,-0.32789686,0.41164723,0.52128955,0.01613607,24.86265182,-3.01789451,0.48578846,4.97829342,1.07426393,6.21834135,2.69585490,2.30886221,0.28206775,0.14828672,0.11545398,0.73409348,
0.00,0.00,4.00,0.27,141.00,126.00,22.00,128.00,27.50,0.66,2.06391263,1.12316287,1.68144560,1.15084267,1.50484085,24.32428551,0.00000096,3.28,0.00000047,2.47386289,2.48963213,0.01576925,0.00961021,0.92197511,-0.99192530,0.81357133,1.80549657,9.89706612,2.43,3.91,0.00797616,31.14155960,-3.88305283,1.30782974,0.14062935,0.00264798,-0.50653243,0.05725122,3.62326193,2.53859401,-1.09624612,4.12318373,0.04257781,0.00840053,29.52216339,1.14461946,0.08846441,-0.59017628,0.03408804,0.47664174,0.03737804,4.75271749,1.71162176,-0.97664678,3.29301453,0.06989079,0.01479039,32.03643036,-2.28808165,0.16148739,-5.14102077,1.15589058,-1.21724343,0.08677340,0.20438729,0.00217614,-0.73267102,2.18619990,0.13958433,0.00581267,23.86364365,-0.82564420,0.12182420,-0.06729247,0.00127184,-0.24826951,0.01898677,5.92318964,4.74714661,-0.68960673,1.65784478,0.19820847,0.01016946,28.88983727,-4.82983828,1.73940957,0.04910330,0.00027435,0.37209478,0.01728435,7.37417793,4.57898188,-0.77796477,2.30759835,0.12907590,0.01575541,23.31851387,-5.48362303,1.57763886,-4.07336998,0.70749784,-0.76684332,0.04038972,6.76839256,2.38434887,-0.00695663,0.00027107,0.98686747,0.00581267,23.86364365,-0.82564420,0.12182420,-0.06729247,0.00127184,-0.24826951,0.01898677,5.92318964,4.74714661,-0.68960673,1.65784478,0.19820847,0.01016946,28.88983727,-4.82983828,1.73940957,0.04910330,0.00027435,0.37209478,0.01728435,7.37417793,4.57898188,-0.77796477,2.30759835,0.12907590,0.01575541,23.31851387,-5.48362303,1.57763886,-4.07336998,0.70749784,-0.76684332,0.04038972,6.76839256,2.38434887,-0.00695663,0.00027107,0.98686747,
0.00,0.00,8.00,0.44,141.00,126.00,23.00,90.00,31.03,0.71,2.38435030,1.19707859,2.48942709,1.57482457,1.91142011,50.98285675,0.00000000,2.88,0.00000000,3.97360897,3.94030690,-0.03330205,0.01707637,0.89612207,2.04839945,3.16041493,1.11201549,6.50131607,2.43,3.94,0.00651394,26.86785126,2.93398690,0.96577990,-1.16612136,0.23392981,1.08844090,0.34177020,0.02436228,0.00011812,-0.13080551,0.07588988,0.78300656,0.00769827,32.31260681,-2.42657113,0.51782548,1.44180048,0.26495752,1.74797451,0.65527701,2.96250010,0.86669517,-0.41796440,0.78611803,0.37550116,0.01146733,25.16967773,2.02682424,0.16567184,5.72969818,1.87660694,3.46094561,0.91759449,4.13614273,1.19045532,0.10358632,0.05706080,0.81125485,0.00539832,26.84955406,-0.58924437,0.08093961,-0.65279967,0.15607244,0.91502434,0.33632010,4.87720108,4.19860935,-0.14696412,0.09818224,0.75409087,0.00855318,26.50819778,0.02188236,0.00005931,0.89494175,0.11310623,1.51661921,0.37241429,6.44999647,4.54399967,-0.02152115,0.00225382,0.96214510,0.01507952,27.88684082,-0.92846674,0.05904068,3.38678885,0.63847685,4.13214588,1.52880561,0.77140605,0.04040246,0.38734263,1.01147711,0.31480559,0.00539832,26.84955406,-0.58924437,0.08093961,-0.65279967,0.15607244,0.91502434,0.33632010,4.87720108,4.19860935,-0.14696412,0.09818224,0.75409087,0.00855318,26.50819778,0.02188236,0.00005931,0.89494175,0.11310623,1.51661921,0.37241429,6.44999647,4.54399967,-0.02152115,0.00225382,0.96214510,0.01507952,27.88684082,-0.92846674,0.05904068,3.38678885,0.63847685,4.13214588,1.52880561,0.77140605,0.04040246,0.38734263,1.01147711,0.31480559,
0.00,0.00,2.00,0.00,141.00,127.00,21.00,137.00,32.57,0.63,3.80061173,3.50391674,4.45164013,4.44994688,4.05152893,151.69680786,0.00000000,3.54,0.00000000,1.37497234,1.51554644,0.14057405,1.60153604,0.20670499,6.30213737,5.89047194,-0.41166541,0.56507325,0.00,0.00,0.01466647,96.95939636,0.48480204,0.01875033,-3.41615152,1.42939746,-0.92341918,0.17514323,-0.70315135,0.08803407,-0.54343849,0.93297613,0.33433685,0.01461715,81.62769318,2.84513450,0.49883157,-1.58776522,0.22517109,-1.82630169,0.50125188,2.68932438,0.50050074,-0.18014294,0.10232015,0.74913334,0.02543457,86.93571472,7.25328159,1.48966479,-1.56290531,0.09801302,-3.21665239,0.55646104,-2.87746215,0.40444931,0.22673158,0.19211550,0.66126146,0.01089138,75.48091888,0.66469967,0.07112309,-2.65320611,1.78045082,-1.75478935,0.85429555,-1.54107213,0.28948489,0.01227103,0.00049107,0.98232493,0.01642415,66.75882721,-0.68928885,0.03143517,-2.53266025,0.61865717,-1.26410508,0.17670132,-0.31988809,0.00769676,0.40469870,0.55327523,0.45716664,0.02353536,45.54405212,-5.30419493,1.29198503,-1.02721786,0.03938593,-2.74309921,0.45175186,-5.70771027,1.48409033,1.75069475,13.85253716,0.00020936,0.01089138,75.48091888,0.66469967,0.07112309,-2.65320611,1.78045082,-1.75478935,0.85429555,-1.54107213,0.28948489,0.01227103,0.00049107,0.98232493,0.01642415,66.75882721,-0.68928885,0.03143517,-2.53266025,0.61865717,-1.26410508,0.17670132,-0.31988809,0.00769676,0.40469870,0.55327523,0.45716664,0.02353536,45.54405212,-5.30419493,1.29198503,-1.02721786,0.03938593,-2.74309921,0.45175186,-5.70771027,1.48409033,1.75069475,13.85253716,0.00020936,
0.00,0.00,5.00,0.30,141.00,127.00,22.00,115.00,30.24,0.68,4.42721939,2.93367887,3.94046545,3.94643831,3.81195045,168.89085388,0.00000000,3.15,0.00000000,3.01769757,3.12464476,0.10694697,0.27311981,0.60164701,0.39762899,1.00100875,0.60337973,1.79274976,2.46,3.71,0.01158606,74.44383240,-1.10080266,0.11906891,0.22200707,0.00734482,-0.13291712,0.00444827,-0.05002413,0.00051724,0.12836553,0.06403445,0.80028415,0.01292293,80.42771149,-0.81832767,0.05207713,-0.83361983,0.07827350,1.65716112,0.52024525,4.09308624,1.46142113,-0.02164660,0.00189371,0.96529871,0.02145785,77.37516022,4.55374956,0.73423976,-2.08737206,0.21859682,3.44889402,0.79999572,0.16737781,0.00166471,0.52056068,1.26632166,0.26074239,0.00818312,52.63805389,2.03413773,0.82301307,-0.03008500,0.00020221,-2.97470307,3.03261089,0.59369910,0.05308131,0.80978340,2.54426289,0.11102851,0.01178597,42.30504990,2.00632048,0.32722116,1.08323443,0.13928334,-2.17695451,0.64487094,1.64574277,0.24865617,1.20169985,6.00274324,0.01446336,0.01937317,38.80596161,-7.57081556,3.30980420,-7.03699160,2.32402349,-11.59505272,10.14910507,-0.24155572,0.00328196,2.01609921,23.10139847,0.00000179,0.00818312,52.63805389,2.03413773,0.82301307,-0.03008500,0.00020221,-2.97470307,3.03261089,0.59369910,0.05308131,0.80978340,2.54426289,0.11102851,0.01178597,42.30504990,2.00632048,0.32722116,1.08323443,0.13928334,-2.17695451,0.64487094,1.64574277,0.24865617,1.20169985,6.00274324,0.01446336,0.01937317,38.80596161,-7.57081556,3.30980420,-7.03699160,2.32402349,-11.59505272,10.14910507,-0.24155572,0.00328196,2.01609921,23.10139847,0.00000179,
0.00,0.00,9.00,0.48,141.00,127.00,23.00,60.00,40.99,0.76,5.25253439,2.97755790,4.74708652,5.43496799,4.60303688,287.47988892,0.00000000,2.92,0.00000000,5.00154686,4.99017954,-0.01136725,0.00103574,0.97434835,1.30873501,2.04253674,0.73380172,4.37019539,2.47,3.77,0.01199625,95.32013702,-6.96279097,5.68968868,1.02229273,0.18805008,1.06765020,0.34397596,0.00899076,0.00000000,0.70724505,2.32214665,0.12787706,0.01314714,98.56959534,0.13618986,0.00174408,-1.77449167,0.41982517,0.60083216,0.08097518,0.86836571,0.07792304,0.75553232,2.68638277,0.10154078,0.02146299,91.69455719,-9.25097656,3.58936214,-2.26601338,0.30526525,2.53750992,0.51298612,4.74218416,1.62744451,1.26694548,8.88547421,0.00294783,0.00952944,85.90882111,-1.26109004,0.38073972,-0.28576505,0.03072444,-0.39134002,0.06315242,-1.07553923,0.20965628,1.00709736,4.73600531,0.02978360,0.01443244,76.82524872,-2.22724319,0.48834956,0.35749263,0.01835310,1.02002370,0.17145663,-0.78248930,0.06809968,1.35622704,9.25944328,0.00240734,0.02090508,53.44118881,-6.12628555,2.56325459,-2.20045042,0.26877004,-2.44806099,0.53507000,3.47493434,0.81813133,2.58497953,44.91647339,0.00000000,0.00952944,85.90882111,-1.26109004,0.38073972,-0.28576505,0.03072444,-0.39134002,0.06315242,-1.07553923,0.20965628,1.00709736,4.73600531,0.02978360,0.01443244,76.82524872,-2.22724319,0.48834956,0.35749263,0.01835310,1.02002370,0.17145663,-0.78248930,0.06809968,1.35622704,9.25944328,0.00240734,0.02090508,53.44118881,-6.12628555,2.56325459,-2.20045042,0.26877004,-2.44806099,0.53507000,3.47493434,0.81813133,2.58497953,44.91647339,0.00000000,
0.00,0.00,0.00,0.00,141.00,128.00,20.00,148.00,30.01,0.62,1.79027832,1.43402708,1.22106278,1.49015200,1.48388004,26.35417175,0.00000034,3.11,0.00000057,0.32025361,0.53998893,0.21973534,7.39430618,0.00693897,-7.27797937,-7.42462730,-0.14664789,0.08129957,0.00,0.00,0.00671706,24.43262482,-5.64722109,3.05988646,0.67035818,0.06616352,0.78117222,0.15050940,3.05035996,1.99046159,-0.75186926,2.14561749,0.14330869,0.00809548,30.58225441,-0.49464977,0.01845105,-2.52985406,0.69828552,-1.17062855,0.25158665,6.64416122,3.73118925,-0.89997721,3.11904263,0.07770371,0.01403266,32.22993088,-3.32058334,0.38031778,-1.51979268,0.11288942,-2.47966909,0.40281460,3.65436363,0.79468477,-0.64625734,1.90108228,0.16828213,0.00567906,25.45416451,-0.21659048,0.00933930,1.19940436,0.45123038,-0.57026088,0.11186859,5.10571718,3.94148970,-0.66000730,1.69691050,0.19300853,0.00873133,23.69954872,0.27339596,0.00620799,3.49527311,1.47994339,-0.05662605,0.00040708,8.17660332,6.26487637,-0.48042747,0.97933537,0.32261519,0.01531690,24.49375916,-3.47228217,0.70296639,2.99778104,0.42589721,-0.30958062,0.00723051,-0.35579684,0.00733094,-0.02352625,0.00311314,0.95551647,0.00567906,25.45416451,-0.21659048,0.00933930,1.19940436,0.45123038,-0.57026088,0.11186859,5.10571718,3.94148970,-0.66000730,1.69691050,0.19300853,0.00873133,23.69954872,0.27339596,0.00620799,3.49527311,1.47994339,-0.05662605,0.00040708,8.17660332,6.26487637,-0.48042747,0.97933537,0.32261519,0.01531690,24.49375916,-3.47228217,0.70296639,2.99778104,0.42589721,-0.30958062,0.00723051,-0.35579684,0.00733094,-0.02352625,0.00311314,0.95551647,
0.00,0.00,2.00,0.18,141.00,128.00,21.00,146.00,31.46,0.63,2.97161460,2.02548766,2.85789251,2.49465847,2.58741331,68.17733002,0.00000000,3.37,0.00000000,1.34674335,1.60692942,0.26018599,4.98220921,0.02637562,1.86256659,1.72287655,-0.13969009,0.07774319,0.00,0.00,0.01021736,49.64280701,-0.28634387,0.00691892,0.87082195,0.09801804,-1.02592027,0.22805825,3.37259293,2.13670444,-0.68501902,1.56403077,0.21138427,0.01223376,61.88501740,0.63716972,0.02709846,2.68004727,0.69435281,-2.42391706,0.95567226,4.57787895,1.56954265,-1.00123847,3.42072845,0.06469337,0.02069372,61.67710876,-6.19695234,1.16540825,1.47842979,0.09398885,-1.92898297,0.21446224,2.62682533,0.36124179,-0.59062427,1.39717019,0.23749404,0.00884493,54.14599609,3.29526043,1.90186477,-0.13036409,0.00471816,-1.22849500,0.45543626,1.04545820,0.14492773,-0.69568354,1.65340459,0.19880984,0.01495824,60.91532898,4.09009409,1.21568632,-0.90018672,0.08591800,-2.83514571,0.97762924,1.16796732,0.11194296,-0.71155351,1.88137257,0.17050242,0.02459669,55.46240616,1.92551124,0.18985036,-1.45171654,0.08765037,0.81121862,0.04400155,0.04504197,0.00008818,0.13658363,0.09399930,0.75922040,0.00884493,54.14599609,3.29526043,1.90186477,-0.13036409,0.00471816,-1.22849500,0.45543626,1.04545820,0.14492773,-0.69568354,1.65340459,0.19880984,0.01495824,60.91532898,4.09009409,1.21568632,-0.90018672,0.08591800,-2.83514571,0.97762924,1.16796732,0.11194296,-0.71155351,1.88137257,0.17050242,0.02459669,55.46240616,1.92551124,0.18985036,-1.45171654,0.08765037,0.81121862,0.04400155,0.04504197,0.00008818,0.13658363,0.09399930,0.75922040,
0.00,0.00,7.00,0.35,141.00,128.00,22.00,125.00,31.47,0.66,6.03305531,4.07410240,6.03482389,6.45758390,5.64989138,336.28161621,0.00000000,3.31,0.00000000,2.95506406,3.17267013,0.21760598,1.04726696,0.30699321,2.39921260,3.09902382,0.69981134,1.80740654,2.46,3.71,0.02198445,307.27938843,-4.82308388,2.62048149,-1.67221725,0.48309791,3.94346571,4.50454569,-1.96587062,0.97064316,-1.38763654,8.58048820,0.00347916,0.02361344,316.52484131,3.02622628,0.83853847,-1.20006526,0.19115750,5.66777945,7.17277765,0.32638487,0.01097466,-1.30403674,7.96611547,0.00486570,0.04228926,365.55227661,1.94766033,0.16338202,-4.00231457,0.97782433,11.55359268,10.92065239,2.64786434,0.52102542,-0.91161424,4.72396803,0.02999169,0.01724756,263.67282104,-0.99527413,0.22214176,-0.43592596,0.06692185,2.45898175,2.33662128,-1.57886291,0.42324933,-0.92521137,3.74511528,0.05325890,0.02589145,226.83369446,-1.16086936,0.12174010,0.55546194,0.04076465,5.35728216,4.33888769,1.05472124,0.11354285,-0.21304779,0.20969427,0.64711197,0.04337223,206.34651184,-0.43712604,0.01171167,-2.03526878,0.20627308,1.61784410,0.20954390,-4.40567017,1.17960763,1.33449614,10.73801708,0.00108763,0.01724756,263.67282104,-0.99527413,0.22214176,-0.43592596,0.06692185,2.45898175,2.33662128,-1.57886291,0.42324933,-0.92521137,3.74511528,0.05325890,0.02589145,226.83369446,-1.16086936,0.12174010,0.55546194,0.04076465,5.35728216,4.33888769,1.05472124,0.11354285,-0.21304779,0.20969427,0.64711197,0.04337223,206.34651184,-0.43712604,0.01171167,-2.03526878,0.20627308,1.61784410,0.20954390,-4.40567017,1.17960763,1.33449614,10.73801708,0.00108763,
0.00,0.00,11.00,0.53,141.00,128.00,23.00,47.00,20.25,0.79,15.40603256,8.87023544,14.54041195,14.69675350,13.37835789,665.52502441,0.00000000,5.58,0.00000000,4.98053408,5.05404997,0.07351580,0.03895718,0.84367227,7.46972227,7.56760550,0.09788305,0.01949982,2.47,3.77,0.03680809,302.55343628,-1.93485224,0.14812976,1.63002419,0.16129313,0.40665108,0.01682914,-3.88220024,1.32958531,1.71273875,4.59152269,0.03238425,0.03794396,268.42361450,2.89034462,0.25121078,-0.40844458,0.00733105,0.80463666,0.04748894,-7.19153786,1.74650145,2.34271073,8.44398975,0.00374763,0.06564790,281.54852295,4.47728157,0.27601907,1.18326271,0.02734304,0.38106832,0.00380214,-16.07606697,6.13826942,3.34860706,20.37234306,0.00000717,0.02307318,150.41783142,2.71688795,0.52775276,2.84446144,0.90861279,2.10742784,0.54708654,-0.41040558,0.00908540,4.60912609,29.62705612,0.00000007,0.03567902,139.51010132,-1.53828764,0.06917168,8.62060165,3.17378902,6.61473179,2.14231300,-3.88072705,0.49747643,5.26736546,41.50114441,0.00000000,0.05314143,101.02542877,-2.92140174,0.17053668,21.64007950,7.60416031,9.44836235,2.33163142,-6.19786930,0.76135886,8.00539112,126.02240753,0.00000000,0.02307318,150.41783142,2.71688795,0.52775276,2.84446144,0.90861279,2.10742784,0.54708654,-0.41040558,0.00908540,4.60912609,29.62705612,0.00000007,0.03567902,139.51010132,-1.53828764,0.06917168,8.62060165,3.17378902,6.61473179,2.14231300,-3.88072705,0.49747643,5.26736546,41.50114441,0.00000000,0.05314143,101.02542877,-2.92140174,0.17053668,21.64007950,7.60416031,9.44836235,2.33163142,-6.19786930,0.76135886,8.00539112,126.02240753,0.00000000,
