x,y,z,d,xv,yv,zv,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
0.00,0.00,3.00,0.24,66.00,98.00,12.00,144.00,12.20,0.81,1.60450280,1.28757048,2.60924745,1.32104623,1.70559180,4.07928133,0.04370641,8.43,0.04621960,0.43310651,0.57507676,0.14197026,0.50263780,0.47891888,9.76759338,10.45122242,0.68362826,0.23848531,3.25,2.17,-0.02274281,61.25128174,1.17180443,0.08557911,6.21190453,1.54645216,0.69997340,0.06652565,6.63165617,1.70447755,7.06381989,42.92190552,0.00000000,-0.01898202,12.41189480,9.04757881,1.31189775,12.36323929,2.34521651,2.81028342,0.39547151,8.78784275,1.46714103,4.62090683,14.89588928,0.00012173,0.06428219,48.44986343,-16.84088707,2.91398692,14.69188309,1.19024253,-31.79284096,4.63783789,-19.08572197,1.72438467,-4.30614710,13.12179756,0.00030821,-0.01665605,11.18501186,2.14365530,0.11995390,8.58411884,1.01874042,7.02078724,1.56236124,2.82822061,0.11801422,4.99848700,14.38762856,0.00015871,0.00996831,1.65837717,-9.58924961,1.07504225,28.59717941,6.23516369,9.92264175,1.61031866,3.97753596,0.11315697,0.30341908,0.05764985,0.81030443,0.04880495,27.85371590,-10.84003925,0.87956226,37.50477982,8.35115814,-12.60591221,0.98933649,-5.82291842,0.30553657,-1.57944834,2.29799724,0.12989206,-0.01665605,11.18501186,2.14365530,0.11995390,8.58411884,1.01874042,7.02078724,1.56236124,2.82822061,0.11801422,4.99848700,14.38762856,0.00015871,0.00996831,1.65837717,-9.58924961,1.07504225,28.59717941,6.23516369,9.92264175,1.61031866,3.97753596,0.11315697,0.30341908,0.05764985,0.81030443,0.04880495,27.85371590,-10.84003925,0.87956226,37.50477982,8.35115814,-12.60591221,0.98933649,-5.82291842,0.30553657,-1.57944834,2.29799724,0.12989206,
0.00,0.00,5.00,0.35,66.00,98.00,13.00,158.00,14.04,0.79,-1.21625137,0.57353729,-0.18401138,-1.43669701,-0.56585562,0.76997149,0.38045875,6.44,0.47096338,0.64298034,0.86575621,0.22277589,0.98380733,0.32209614,-0.73617530,-2.71781349,-1.98163831,4.33046532,3.23,2.20,0.00490399,4.61720896,0.59062147,0.03525386,3.07698989,0.61519736,4.11016607,3.71675181,0.37164596,0.00872620,-1.85888612,4.81904602,0.02840162,0.00172667,0.17434424,6.51288176,1.15367460,-7.57452250,1.49403203,4.38283205,1.63262224,0.02760126,0.00000000,-0.85068876,0.85679477,0.35488534,-0.00429693,0.35214055,4.12640142,0.28454137,-18.40124321,3.03693032,10.68588734,0.85223567,0.15831707,0.00026033,-0.10085175,0.01171488,0.91383318,0.00464631,1.48079526,2.53056145,0.28433076,1.25127470,0.03682231,6.42393494,2.22531796,3.84687853,0.37143636,-1.60015965,2.50860667,0.11357730,-0.00192384,0.10509112,-0.59865755,0.00711600,-5.61943388,0.40951693,10.30110550,2.95201039,-7.80925274,0.74205959,-0.40081191,0.17095748,0.67936077,-0.00042161,0.00346958,-5.96725130,0.43933561,-13.05729008,1.66843450,4.72411346,0.22907905,-10.89703083,1.76376116,-0.55284685,0.46405637,0.49590953,0.00464631,1.48079526,2.53056145,0.28433076,1.25127470,0.03682231,6.42393494,2.22531796,3.84687853,0.37143636,-1.60015965,2.50860667,0.11357730,-0.00192384,0.10509112,-0.59865755,0.00711600,-5.61943388,0.40951693,10.30110550,2.95201039,-7.80925274,0.74205959,-0.40081191,0.17095748,0.67936077,-0.00042161,0.00346958,-5.96725130,0.43933561,-13.05729008,1.66843450,4.72411346,0.22907905,-10.89703083,1.76376116,-0.55284685,0.46405637,0.49590953,
0.00,0.00,8.00,0.48,66.00,98.00,14.00,159.00,11.92,0.82,1.96658325,7.13669968,3.83838987,4.42960501,4.34281921,10.47952175,0.00125093,13.39,0.00108875,0.89172697,1.21847951,0.32675248,1.59901845,0.20706827,5.98689079,7.84582710,1.85893619,1.27474856,3.22,2.23,-0.02824287,36.48859406,0.94891441,0.02170618,17.71912956,4.86052227,-0.70878959,0.02636345,7.49243450,0.84047014,10.98554802,40.10113525,0.00000000,-0.02037527,5.64277315,17.76891708,1.99657547,26.91202736,4.38481522,4.18991041,0.34687263,13.75376987,1.41799712,7.39739609,15.06272984,0.00011159,0.06863879,21.19730759,-15.77431011,0.98103464,23.69041824,1.18755960,-21.86561012,0.84182268,-23.78932571,1.02803910,-2.13070774,1.23276258,0.26716701,-0.00181944,0.05242826,-18.81774521,3.63384867,16.41583824,1.46502066,-1.86562181,0.04335568,-3.65889072,0.07763879,4.56250715,4.71372652,0.03018341,0.03759024,9.33112431,-14.61956882,0.98873001,2.37856579,0.01703732,-9.02928829,0.52759182,-5.64823008,0.09027359,-0.21369952,0.01130439,0.91535051,0.07754429,27.50570679,-17.51292801,0.89800638,-14.12041759,0.46308345,-20.78980255,1.05264199,-8.95360279,0.28259289,-0.90330672,0.29403821,0.58777853,-0.00181944,0.05242826,-18.81774521,3.63384867,16.41583824,1.46502066,-1.86562181,0.04335568,-3.65889072,0.07763879,4.56250715,4.71372652,0.03018341,0.03759024,9.33112431,-14.61956882,0.98873001,2.37856579,0.01703732,-9.02928829,0.52759182,-5.64823008,0.09027359,-0.21369952,0.01130439,0.91535051,0.07754429,27.50570679,-17.51292801,0.89800638,-14.12041759,0.46308345,-20.78980255,1.05264199,-8.95360279,0.28259289,-0.90330672,0.29403821,0.58777853,
0.00,0.00,0.00,0.33,66.00,99.00,12.00,140.00,12.73,0.83,1.21990550,1.84664023,0.03532048,1.60250235,1.17609215,2.75895572,0.09705771,7.07,0.12912583,0.34778485,0.63413852,0.28635365,1.71018684,0.19200768,0.17577219,0.92815495,0.75238276,0.31241563,3.19,2.09,-0.00713589,8.18424892,5.63974237,2.68943906,1.73234022,0.16319554,4.77185488,4.19384766,10.03074169,5.29245901,2.68469739,8.41479778,0.00381244,-0.01238070,7.52071524,9.96381855,2.26617074,-1.67146099,0.06103330,6.98851013,3.48363209,13.88897800,5.21994925,2.96538091,8.73752117,0.00319863,-0.00278332,0.12284206,5.74344301,0.45825931,5.36525345,0.21466704,30.18175697,5.65123940,6.72308016,0.28932443,1.33059490,1.69396532,0.19341213,0.00239099,0.32655495,10.18110943,3.83295250,-4.12143898,0.33277506,3.83827066,0.66164446,12.31150246,3.16812563,0.68219566,0.37971509,0.53791158,-0.00668545,1.05337214,8.17483330,1.10329950,6.97724533,0.52412850,2.96039104,0.20237483,19.04597092,3.66443253,1.92650664,3.27963948,0.07047764,-0.00988013,1.58267319,0.96989876,0.00977679,-6.12602091,0.30891749,-38.30768204,12.66693115,12.04771900,1.81344926,1.90948737,4.65652657,0.03119965,0.00239099,0.32655495,10.18110943,3.83295250,-4.12143898,0.33277506,3.83827066,0.66164446,12.31150246,3.16812563,0.68219566,0.37971509,0.53791158,-0.00668545,1.05337214,8.17483330,1.10329950,6.97724533,0.52412850,2.96039104,0.20237483,19.04597092,3.66443253,1.92650664,3.27963948,0.07047764,-0.00988013,1.58267319,0.96989876,0.00977679,-6.12602091,0.30891749,-38.30768204,12.66693115,12.04771900,1.81344926,1.90948737,4.65652657,0.03119965,
0.00,0.00,0.00,0.45,66.00,99.00,13.00,140.00,8.56,0.81,-0.69499481,0.77141464,-0.91274208,-1.41993141,-0.56406343,0.20975073,0.64707279,12.29,0.85472355,0.24251676,0.58876652,0.34624976,1.96844029,0.16169441,8.64780998,6.38332987,-2.26447988,1.85610366,3.18,2.15,-0.02004439,21.50644684,8.85114765,2.20616364,-2.45490837,0.10918905,1.76620221,0.19132413,9.87612629,1.70868206,4.20038128,6.86012793,0.00896231,-0.00928172,1.38787472,21.47613907,3.45682120,-14.60793495,1.53126335,4.57716990,0.49062029,17.67567253,2.77594090,0.82783288,0.22354837,0.63646408,0.08465977,38.96963120,-1.06029379,0.00534381,-18.42957687,0.86856699,-15.25098228,0.49489614,-1.41705477,0.00445317,-8.34571266,22.85616684,0.00000204,0.00436165,0.35784277,7.76821947,0.73463970,-23.43408012,3.54175758,6.62189531,0.64834595,-0.76775599,0.00409562,-1.43153918,0.55052733,0.45829589,0.02895260,6.56912231,-0.94624281,0.00488696,-15.88453770,0.90332019,6.46788883,0.32119754,26.71506691,2.39719534,-4.26199055,5.33713007,0.02110122,0.05351875,15.37740326,-18.16415596,1.13379097,4.04709864,0.04464810,-14.06516171,0.56544590,18.86170197,1.47184086,-4.26262283,7.68411112,0.00568590,0.00436165,0.35784277,7.76821947,0.73463970,-23.43408012,3.54175758,6.62189531,0.64834595,-0.76775599,0.00409562,-1.43153918,0.55052733,0.45829589,0.02895260,6.56912231,-0.94624281,0.00488696,-15.88453770,0.90332019,6.46788883,0.32119754,26.71506691,2.39719534,-4.26199055,5.33713007,0.02110122,0.05351875,15.37740326,-18.16415596,1.13379097,4.04709864,0.04464810,-14.06516171,0.56544590,18.86170197,1.47184086,-4.26262283,7.68411112,0.00568590,
0.00,0.00,10.00,0.57,66.00,99.00,14.00,155.00,4.69,0.81,3.83865070,15.45793343,3.80517459,10.10344124,8.30130005,8.86174393,0.00298965,27.83,0.00472505,0.18928421,0.55121338,0.36192915,1.57966483,0.20983091,9.45502853,10.81655884,1.36153042,0.12116545,3.21,2.13,-0.04584661,22.21363068,-29.50891304,4.84144735,22.98013115,1.88869858,20.23332024,4.95788145,2.90227318,0.02912784,18.42790985,26.06941986,0.00000040,-0.05452027,9.42309761,-28.70902824,1.21553373,42.92720413,2.60198307,32.97672272,5.01174259,7.53409624,0.09923647,16.18225670,16.81184769,0.00004501,0.11210457,13.09838295,-79.76654053,5.81112528,77.34477997,2.93223381,69.07153320,1.94589412,-35.82900620,0.54017627,-3.08667254,0.59928530,0.43905415,-0.03905417,5.71902657,-70.39091492,12.02618790,21.15870476,0.57560176,43.72579575,5.63600540,3.25981379,0.01458373,15.01716805,12.07783794,0.00053462,0.01723812,0.45400751,-72.51170349,5.62797403,16.64542389,0.19341093,48.35155487,3.50060344,-25.13101578,0.41357654,5.40792084,1.67545581,0.19586138,0.04765350,2.34354520,-59.41905212,2.33225012,28.14895439,0.41516224,-27.19117737,0.40624520,-0.46243829,0.00014862,4.91466427,1.96353090,0.16148092,-0.03905417,5.71902657,-70.39091492,12.02618790,21.15870476,0.57560176,43.72579575,5.63600540,3.25981379,0.01458373,15.01716805,12.07783794,0.00053462,0.01723812,0.45400751,-72.51170349,5.62797403,16.64542389,0.19341093,48.35155487,3.50060344,-25.13101578,0.41357654,5.40792084,1.67545581,0.19586138,0.04765350,2.34354520,-59.41905212,2.33225012,28.14895439,0.41516224,-27.19117737,0.40624520,-0.46243829,0.00014862,4.91466427,1.96353090,0.16148092,
0.00,0.00,7.00,0.43,66.00,100.00,12.00,127.00,9.98,0.80,0.89016479,0.25896421,-0.37658450,-1.25923038,-0.12167145,0.01590156,0.89967969,9.63,0.86033286,0.38218832,0.77790082,0.39571249,3.29292846,0.07062273,5.23147964,7.38591480,2.15443516,1.71808314,3.19,2.09,0.00794545,5.43448162,-13.37800217,8.10524082,-6.21112394,1.12386286,-0.84881568,0.07105330,-4.26576090,0.51263231,-2.08388519,2.71544099,0.09973054,0.01355830,4.82821703,-17.07642174,3.56328464,5.77311230,0.38995966,-2.15095234,0.17669438,3.89329791,0.21958137,-2.42014122,3.11546659,0.07789136,0.02820683,6.84849739,-27.47480392,5.69380379,-8.05184841,0.26249087,12.98892212,0.56829941,-25.27239227,2.21969676,-2.86414385,4.26165819,0.03926791,0.00923963,2.63437152,-18.43753433,6.79013824,3.45190048,0.12611228,-0.39194015,0.00375055,-18.56514931,3.89135313,-2.09570122,1.93575323,0.16447420,0.02266050,6.57263708,-24.58033943,5.41738605,5.66231680,0.18749450,-6.88477850,0.59456730,7.01735163,0.27012983,-2.98712564,4.28208971,0.03880090,0.01158621,1.15993094,-10.73871708,0.63778704,25.99336433,2.96402597,-7.00292730,0.22560909,17.09058762,1.94485772,-0.96142644,0.62915462,0.42787463,0.00923963,2.63437152,-18.43753433,6.79013824,3.45190048,0.12611228,-0.39194015,0.00375055,-18.56514931,3.89135313,-2.09570122,1.93575323,0.16447420,0.02266050,6.57263708,-24.58033943,5.41738605,5.66231680,0.18749450,-6.88477850,0.59456730,7.01735163,0.27012983,-2.98712564,4.28208971,0.03880090,0.01158621,1.15993094,-10.73871708,0.63778704,25.99336433,2.96402597,-7.00292730,0.22560909,17.09058762,1.94485772,-0.96142644,0.62915462,0.42787463,
0.00,0.00,11.00,0.56,66.00,100.00,13.00,118.00,6.74,0.79,-4.61641502,-8.29579353,-5.94096661,-7.65389585,-6.62676764,15.57724190,0.00008534,16.76,0.00015350,0.19657961,0.65984935,0.46326974,3.27171922,0.07153012,4.18426609,4.03483009,-0.14943606,0.00398079,3.18,2.15,0.01254529,4.43480062,-5.28983736,0.41485325,-5.53316259,0.29200587,-2.48033524,0.19866644,-4.45290565,0.18288788,-9.56847858,18.74011612,0.00001666,0.02354795,4.79217672,-12.07913208,0.58662957,-11.15397263,0.47897136,-5.76440430,0.41749635,6.97607803,0.23194242,-10.42342663,19.01548004,0.00001446,-0.03146192,2.79482412,-15.58270359,0.60073352,-3.83678317,0.01952769,-2.47248125,0.00668053,65.97187042,4.96147299,-3.88877082,2.57693624,0.10878215,0.00550570,0.30531818,3.30779147,0.07132935,-16.45763779,0.93575120,-4.59448385,0.16714945,0.27957976,0.00020409,-7.62646770,8.36971760,0.00390727,0.00619980,0.16030368,-11.02216148,0.35487074,-11.67255688,0.25952470,-2.32774878,0.02212843,3.67442608,0.02416792,-7.42868710,8.62784576,0.00339505,-0.00596289,0.10104672,-24.19023514,1.06503451,30.15516853,1.31289077,33.40248489,1.68912852,-1.91375434,0.00798545,-6.38738775,9.13894367,0.00257319,0.00550570,0.30531818,3.30779147,0.07132935,-16.45763779,0.93575120,-4.59448385,0.16714945,0.27957976,0.00020409,-7.62646770,8.36971760,0.00390727,0.00619980,0.16030368,-11.02216148,0.35487074,-11.67255688,0.25952470,-2.32774878,0.02212843,3.67442608,0.02416792,-7.42868710,8.62784576,0.00339505,-0.00596289,0.10104672,-24.19023514,1.06503451,30.15516853,1.31289077,33.40248489,1.68912852,-1.91375434,0.00798545,-6.38738775,9.13894367,0.00257319,
0.00,0.00,15.00,0.67,66.00,100.00,14.00,122.00,5.15,0.80,-0.67646903,7.50579548,1.47427523,7.07195473,3.84388900,2.40422344,0.12135777,24.74,0.23912628,0.11865474,0.49591100,0.37725627,1.45035136,0.22946382,-8.06453705,-4.55800200,3.50653481,1.03523803,3.17,2.20,-0.03695548,18.04492378,-14.85956478,1.53488362,-13.10727119,0.76821053,-0.56298494,0.00480432,27.59143829,3.29201508,12.21164608,14.31264114,0.00016506,-0.04012027,6.46546793,-41.81480408,3.26741147,-31.15669632,1.73683190,-0.92155963,0.00496074,-35.21547699,2.74729681,10.60212231,9.14350510,0.00256685,0.03356797,1.46351314,-48.67591476,2.69659710,82.49678802,4.15689516,-11.70820904,0.06968660,-73.03825378,2.79739213,0.28809234,0.00652425,0.93564055,-0.03579250,5.99296904,-20.55215645,1.27900922,-37.63805008,2.27249908,-3.44115305,0.04359074,14.17134476,0.34370354,11.05182171,8.16113472,0.00437833,0.00166344,0.00526989,-33.39398575,1.50304890,-64.82945251,3.69419551,-5.86322546,0.06483851,-39.57527924,1.29159451,3.71504045,0.99563348,0.31863758,0.02771320,1.00414848,-43.34788513,1.57259488,-74.51536560,3.68595767,-3.92619586,0.01073251,-33.17710876,1.10902584,1.85247421,0.35341960,0.55233314,-0.03579250,5.99296904,-20.55215645,1.27900922,-37.63805008,2.27249908,-3.44115305,0.04359074,14.17134476,0.34370354,11.05182171,8.16113472,0.00437833,0.00166344,0.00526989,-33.39398575,1.50304890,-64.82945251,3.69419551,-5.86322546,0.06483851,-39.57527924,1.29159451,3.71504045,0.99563348,0.31863758,0.02771320,1.00414848,-43.34788513,1.57259488,-74.51536560,3.68595767,-3.92619586,0.01073251,-33.17710876,1.10902584,1.85247421,0.35341960,0.55233314,
0.00,0.00,15.00,0.66,66.00,101.00,13.00,103.00,5.19,0.77,-2.97871017,-6.45823383,-3.12530041,-6.98293972,-4.88629627,4.85805416,0.02776844,22.13,0.05661197,0.56468183,0.97322810,0.40854624,2.41947007,0.12093747,-2.04520988,0.34507006,2.39028001,0.77739221,3.20,2.03,-0.02537342,10.49806499,14.53710365,1.81286120,3.42379165,0.06468575,3.97807932,0.29574019,-2.08160424,0.02312323,1.36731327,0.22144939,0.63805179,-0.01036327,0.53173292,32.00670624,2.35963821,4.25270987,0.03986233,12.59585381,1.14195585,29.30090141,2.34429312,-3.58685184,1.28999913,0.25635047,0.11539958,22.22809601,12.67530251,0.23501478,-75.60031128,4.48648548,-6.38321447,0.02661233,81.73793793,4.50252581,-15.42842484,23.97952843,0.00000115,-0.00057438,0.00193236,5.52381039,0.11418469,-16.26407242,0.52442980,4.67760468,0.09942852,-20.34390640,0.87547451,-4.67908049,1.80786574,0.17910323,0.04352662,4.56671381,0.19989087,0.00005895,-33.21160507,1.21459544,-7.88280439,0.14677712,40.27384186,1.67573500,-10.25737572,9.50874138,0.00210734,0.06548735,7.06332207,-30.75155449,0.99692440,45.87993240,1.76016784,-48.56379700,2.06802678,21.90673637,0.60907680,-9.35440159,11.35259342,0.00078544,-0.00057438,0.00193236,5.52381039,0.11418469,-16.26407242,0.52442980,4.67760468,0.09942852,-20.34390640,0.87547451,-4.67908049,1.80786574,0.17910323,0.04352662,4.56671381,0.19989087,0.00005895,-33.21160507,1.21459544,-7.88280439,0.14677712,40.27384186,1.67573500,-10.25737572,9.50874138,0.00210734,0.06548735,7.06332207,-30.75155449,0.99692440,45.87993240,1.76016784,-48.56379700,2.06802678,21.90673637,0.60907680,-9.35440159,11.35259342,0.00078544,
