x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-9.08,5.18,20.00,0.76,108.00,154.00,4.00,4.89,nan,7.90,0.58,7.26727581,4.78269434,6.57673979,5.74771261,6.09360552,29.93955612,0.00000006,11.82,6.56111860,2.77504420,5.19729853,6.38181925,9.55427361,7.77498293,3.42018819,7.76869202,5.62277222,6.11123705,29.86561203,0.00000006,0.28009698,-3.04560494,-3.32570195,125.76792145,0.00000000,9.66833401,5.44341135,-4.22492266,5.36666107,0.11,3.51,
-8.87,5.41,20.00,0.82,108.00,155.00,4.00,4.89,nan,10.51,0.59,8.51334953,6.40859604,9.20613289,8.25949001,8.09689236,85.68080139,0.00000000,9.28,6.86228323,7.27096033,11.29617214,10.58543110,4.55608177,7.04487896,8.62644768,8.46023464,8.38019466,8.11217785,85.55311584,0.00000000,0.26806775,-2.51216316,-2.78023076,126.66291809,0.00000000,-1.44448328,-5.73990297,-4.29541969,10.06612301,0.09,3.39,
-7.20,3.35,21.00,0.87,108.00,155.00,7.00,2.61,nan,12.53,0.66,5.00056744,3.11506081,3.27809858,2.48054051,3.46856689,17.69954300,0.00002831,8.75,3.00687432,3.65888357,4.11452627,3.96627593,3.80482864,5.66509151,2.68979645,3.57748771,2.43040872,3.65347338,19.28243065,0.00001254,-1.76587403,-2.72815561,-0.96228153,29.05079842,0.00000015,1.02446163,-1.56748521,-2.59194684,3.51688862,0.43,3.21,
-6.50,3.51,20.00,0.89,108.00,156.00,7.00,2.15,nan,12.17,0.65,4.56388187,3.40067887,3.16806817,3.91830540,3.76273346,22.93102074,0.00000195,8.34,3.87160897,6.31627607,4.31197643,3.10370731,3.67460966,3.01918626,2.70277858,2.38106108,3.81744552,3.68505025,21.72603226,0.00000359,-1.94198084,-2.32367158,-0.38169077,5.41801834,0.02062041,-2.96851707,-2.70807719,0.26043972,0.04231020,0.45,3.13,
-9.37,4.15,20.00,0.82,109.00,152.00,4.00,4.50,nan,5.26,0.60,-7.45350027,-6.32916021,-3.84682798,-3.91012907,-5.38490438,9.62685585,0.00197396,18.42,-4.57672644,-7.68729782,-4.78853846,-9.62875843,-1.90079403,-8.29608822,-2.71923304,-7.15771818,-3.64916325,-5.59487915,10.25992107,0.00140480,1.24435496,-3.64326143,-4.88761616,143.05502319,0.00000000,-3.58813429,3.21130681,6.79944086,3.66290283,0.19,3.61,
-8.90,2.62,0.00,0.80,109.00,152.00,6.00,3.67,nan,8.61,0.64,9.57763100,9.01430798,7.41960859,7.58058405,8.39803314,77.94567871,0.00000000,10.10,3.76137972,11.22344112,9.85894108,12.36625767,4.99220896,10.81119633,6.63519382,10.46857643,7.42161417,8.60680771,82.88867950,0.00000000,0.56617075,-3.25866413,-3.82483482,114.26314545,0.00000000,7.77861500,-1.02798784,-8.80660248,23.82749748,0.40,3.44,
-8.70,2.32,0.00,0.79,109.00,152.00,7.00,3.52,nan,15.28,0.67,4.13585138,3.75661421,3.87149906,3.94233727,3.92657542,46.52992630,0.00000000,6.11,5.46187162,3.08322048,3.06993604,3.16112494,5.08215189,2.62823510,4.70759487,3.89379811,3.99967456,3.89472461,45.42995834,0.00000000,-0.57941300,-3.53573775,-2.95632482,100.87519073,0.00000000,0.74537563,-1.02468860,-1.77006423,2.78785777,0.48,3.40,
-8.42,2.07,17.00,0.81,109.00,152.00,8.00,3.36,nan,13.04,0.61,2.83300996,2.88742876,3.60293603,2.75808740,3.02036548,19.56696701,0.00001083,7.25,4.26659822,3.14503169,0.75906301,3.71652460,3.70951104,2.21923947,2.05193257,4.29609346,2.65047073,2.97640562,18.85743904,0.00001560,-1.72392905,-3.96914887,-2.24521995,85.35961914,0.00000000,-7.58306646,-7.36660242,0.21646416,0.02928577,0.48,3.40,
-8.18,1.90,19.00,0.86,109.00,152.00,9.00,3.25,nan,14.70,0.55,0.54253274,0.28361684,0.47070384,-0.09519546,0.30041450,0.20002110,0.65480533,7.13,-0.56511950,0.55563945,0.86474001,-1.78083909,0.04866119,1.16539323,1.48912072,2.35090208,0.05426478,0.46428668,0.47473273,0.49098633,-2.51252365,-4.32073116,-1.80820715,69.65995789,0.00000000,-7.41792917,-9.45572186,-2.03779268,3.43249941,0.47,3.39,
-9.43,4.58,16.00,0.54,109.00,153.00,3.00,4.77,nan,4.94,0.76,19.10683250,15.05987930,17.16165352,16.31122017,16.90989685,92.14249420,0.00000000,18.70,13.48565865,15.39052200,20.09901237,19.03568649,8.87510490,19.62840843,20.93873405,21.06689453,16.79245377,17.23968506,95.67039490,0.00000000,1.06858492,-3.65129089,-4.71987581,133.54031372,0.00000000,-8.63516426,-17.25176620,-8.61660099,9.67654514,0.14,3.48,
-9.06,4.24,17.00,0.72,109.00,153.00,4.00,4.32,nan,4.78,0.62,17.65447807,14.71356773,13.87479019,16.07582283,15.57966423,60.15736771,0.00000000,21.32,9.72845364,18.43605995,14.78953743,21.45813370,11.62521267,15.56429291,17.47716713,14.65681934,16.10810661,15.52266026,59.08834457,0.00000000,1.20319033,-3.29518628,-4.49837685,132.71299744,0.00000000,-8.02802086,-27.01022720,-18.98220634,27.00391197,0.14,3.48,
-8.59,3.48,0.00,0.78,109.00,153.00,5.00,3.64,nan,6.59,0.62,18.09197617,17.19741631,19.62397385,17.97193909,18.22132683,181.58256531,0.00000000,14.35,15.23825455,14.34102154,13.52738857,18.52006912,20.48773575,19.57342339,23.55951118,21.93502045,18.37183380,18.37652206,185.01518250,0.00000000,0.94307381,-2.81599736,-3.75907135,115.51993561,0.00000000,10.52444553,0.42405039,-10.10039520,22.52989769,0.27,3.43,
-8.32,3.17,16.00,0.70,109.00,153.00,6.00,3.36,nan,11.39,0.64,10.96902943,9.33879948,11.27971840,10.52042961,10.52699471,143.42440796,0.00000000,9.33,11.86571026,9.77082157,9.19028473,7.36087179,10.20642757,12.06080723,12.78545856,10.99765396,10.75361729,10.54407406,142.55473328,0.00000000,0.07269168,-2.75313568,-2.82582736,93.09780884,0.00000000,2.76240444,3.50440884,0.74200428,0.25176534,0.39,3.33,
-8.11,2.87,0.00,0.72,109.00,153.00,7.00,3.16,nan,14.66,0.64,5.14296150,5.79611063,5.18917179,5.01751995,5.28644085,66.39260864,0.00000000,6.89,3.63838625,8.53287888,4.69988060,3.89981413,4.50346470,5.37522745,5.02068710,7.64835072,4.98883104,5.36213493,68.64489746,0.00000000,-1.09057605,-3.11567402,-2.02509809,71.24013519,0.00000000,0.94253725,-0.36122695,-1.30376422,1.70289505,0.48,3.40,
-7.93,2.30,17.00,0.78,109.00,153.00,8.00,3.04,nan,16.24,0.63,0.89323992,1.86687350,2.55622888,2.35904336,1.91884637,10.67569923,0.00112426,6.23,0.89255363,1.49428427,-0.56693846,4.26569271,2.06298614,1.88993919,2.30915308,1.46374941,2.30885887,1.78935099,9.21204185,0.00246985,-2.11321306,-3.59629464,-1.48308146,50.88120651,0.00000000,2.59242487,-0.52824354,-3.12066841,10.43734074,0.48,3.40,
