x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
-8.53,-5.40,0.00,0.11,67.00,191.00,4.00,4.57,143.00,20.54,0.77,0.84466553,0.15383439,0.30106297,0.73819375,0.50943917,1.13800097,0.28634502,4.70,0.40617719,1.31763637,1.19604731,0.73317683,0.64472598,0.37777257,-0.99001873,-0.39319125,0.73323971,0.44683784,0.86008662,0.35395025,-0.50092536,-1.19420183,-0.69327652,27.55248833,0.00000030,-1.15784991,-1.03351188,0.12433800,0.02145296,6.28,0.00,-0.00545355,3.29025555,-3.67913222,1.06606305,2.15118861,0.30694509,3.65468931,1.11389983,3.49512815,0.48412129,1.68520808,4.10863256,0.04294399,-0.00552145,1.35190952,-13.10776424,3.11815858,-21.12684822,6.01143217,7.59566641,1.91628802,7.38030005,1.32496834,1.24115980,2.40608025,0.12119807,-0.00066017,0.00846317,-2.10725427,0.05513881,-7.46811295,1.09029520,4.89021301,0.54437822,1.61884618,0.03846893,0.56942827,0.71287215,0.39870476,-0.00013868,0.00213693,-1.85552192,0.24839638,3.01462960,0.59936529,1.53758025,0.22514662,3.13393497,0.50773382,0.50772494,0.28797227,0.59164866,0.00008828,0.00042806,-4.12628651,1.08110631,6.48833179,1.76548743,1.05570817,0.06831825,-0.77725196,0.03159077,0.46586126,0.27532768,0.59990265,0.00778828,1.48871219,-8.65689659,3.22267151,0.76077616,0.02108730,-0.65240377,0.02468758,-1.71229219,0.06763367,-0.21680018,0.08777805,0.76708597,-0.00013868,0.00213693,-1.85552192,0.24839638,3.01462960,0.59936529,1.53758025,0.22514662,3.13393497,0.50773382,0.50772494,0.28797227,0.59164866,0.00008828,0.00042806,-4.12628651,1.08110631,6.48833179,1.76548743,1.05570817,0.06831825,-0.77725196,0.03159077,0.46586126,0.27532768,0.59990265,0.00778828,1.48871219,-8.65689659,3.22267151,0.76077616,0.02108730,-0.65240377,0.02468758,-1.71229219,0.06763367,-0.21680018,0.08777805,0.76708597,
-8.34,-5.21,0.00,0.14,67.00,191.00,5.00,4.44,146.00,19.73,0.77,2.38007665,0.83935916,1.67310321,2.44479108,1.83433247,13.02008152,0.00032418,5.00,0.86529636,1.51378071,2.39105415,1.80200422,2.14278221,1.68629730,2.02481890,0.04429755,2.36343670,1.64654827,10.23573589,0.00142314,-0.32490733,-1.04478824,-0.71988094,35.50839233,0.00000001,1.10520625,0.62217218,-0.48303401,0.45489296,6.28,0.00,-0.00030961,0.00931876,-0.96384108,0.06454946,-0.80756086,0.03818419,8.65973377,5.51685762,1.25650334,0.05515494,1.80141413,4.14154482,0.04212044,-0.00412943,0.66073513,-2.76999474,0.12164066,-5.03494596,0.29831105,6.67817736,1.29429603,10.73365593,2.44870901,2.32332873,7.36664009,0.00676498,-0.00855720,1.26542222,-1.24688935,0.01722492,-9.04064369,1.42440987,6.72196531,0.91696048,24.69633865,7.97613096,2.31675148,10.51962757,0.00122236,-0.00331627,1.08724284,3.87293887,0.96230036,-9.02142143,4.77274227,4.29454756,1.56216109,-3.27883124,0.49422202,2.79450917,7.75646639,0.00545860,-0.00503458,1.17332864,3.49068928,0.68303084,-3.87252164,0.55522239,1.49833572,0.12153520,-4.67602301,1.01045036,2.73226190,8.36068439,0.00392176,0.00019788,0.00082984,4.63304138,0.81233376,-3.29934192,0.34868190,0.55695307,0.01584232,4.81557989,0.47051689,1.86945093,5.74284077,0.01674868,-0.00331627,1.08724284,3.87293887,0.96230036,-9.02142143,4.77274227,4.29454756,1.56216109,-3.27883124,0.49422202,2.79450917,7.75646639,0.00545860,-0.00503458,1.17332864,3.49068928,0.68303084,-3.87252164,0.55522239,1.49833572,0.12153520,-4.67602301,1.01045036,2.73226190,8.36068439,0.00392176,0.00019788,0.00082984,4.63304138,0.81233376,-3.29934192,0.34868190,0.55695307,0.01584232,4.81557989,0.47051689,1.86945093,5.74284077,0.01674868,
-6.89,-4.31,0.00,0.10,67.00,191.00,10.00,3.56,157.00,16.67,0.79,-2.36043692,-1.90315580,-2.49375963,-2.33249497,-2.27246189,13.06408119,0.00031675,6.19,-1.98719680,-3.89294124,-1.68797410,-0.71975899,-2.84861922,-0.83105648,-3.38640571,-3.29365158,-2.41475201,-2.33792162,13.63582802,0.00023457,0.51794463,-0.34887090,-0.86681551,46.86960983,0.00000000,1.02946341,-0.23337218,-1.26283562,1.95196187,6.28,0.00,-0.00116669,0.08664797,5.35283804,1.29952168,1.93371713,0.14283065,-7.45251608,2.66719437,1.47146356,0.04935769,-1.93211699,3.11012769,0.07812861,-0.00170016,0.07287765,-3.37631273,0.11774818,-12.05794239,1.11456442,-0.02105703,0.00000000,2.74861073,0.10453356,-2.01459408,3.60808420,0.05780230,-0.00088891,0.00890804,-22.78522682,3.72821069,-9.11830807,0.94088644,2.72413039,0.09779043,5.35514307,0.24348629,-2.15818167,5.92760420,0.01508890,0.00041819,0.01123984,-1.57660902,0.10342620,-3.12927532,0.37249210,1.76178002,0.17056943,4.28046083,0.54631519,-2.37688088,3.63983345,0.05671416,-0.00215639,0.14052886,5.70176363,1.19059443,-7.55852270,1.38178480,-0.42641124,0.00641910,-0.73558682,0.01629463,-1.86403644,2.54225874,0.11116909,-0.00704694,0.70230877,8.97839355,1.99746537,-2.99071503,0.18760507,-2.22466254,0.16517939,-1.33915544,0.02380875,-1.62126327,2.82810426,0.09295665,0.00041819,0.01123984,-1.57660902,0.10342620,-3.12927532,0.37249210,1.76178002,0.17056943,4.28046083,0.54631519,-2.37688088,3.63983345,0.05671416,-0.00215639,0.14052886,5.70176363,1.19059443,-7.55852270,1.38178480,-0.42641124,0.00641910,-0.73558682,0.01629463,-1.86403644,2.54225874,0.11116909,-0.00704694,0.70230877,8.97839355,1.99746537,-2.99071503,0.18760507,-2.22466254,0.16517939,-1.33915544,0.02380875,-1.62126327,2.82810426,0.09295665,
-8.33,-5.20,0.00,0.13,67.00,192.00,5.00,4.44,145.00,23.38,0.79,-0.16173014,-0.38240665,-1.19658959,-0.37836301,-0.52977234,1.28165591,0.25787585,4.61,-0.35467991,-0.68199617,-0.86503768,-0.29390261,-0.68623638,-0.42161238,-0.40568078,-0.64822155,-0.34332329,-0.52177668,1.20692337,0.27222094,-0.29494137,-1.03925920,-0.74431783,37.77155685,0.00000000,-2.91049719,-4.15955925,-1.24906218,3.08675623,6.28,0.00,-0.00389204,1.75057018,-5.18287611,2.21008015,1.83253729,0.23271556,-5.81790066,2.94859767,6.16625929,1.57410467,0.40288869,0.24536510,0.62047240,-0.00352381,0.56715518,-7.17602348,0.96256685,10.79602814,1.61670899,-4.15510511,0.59061939,1.02680409,0.02640836,-0.05891701,0.00562070,0.94025334,0.00487991,0.48204947,6.70930958,0.58320928,0.42610595,0.00366068,-1.86371160,0.08258858,14.73284245,3.32523942,-0.92515671,1.96516180,0.16128933,0.00009523,0.00097960,2.13951063,0.34410802,-3.33159041,0.76266593,-1.19944501,0.14275496,-3.58995128,0.69418269,-0.51512361,0.30875322,0.57857723,-0.00257606,0.36237919,-1.81186676,0.21712436,-2.12840319,0.19786404,2.55770922,0.41775259,-5.93765211,1.92219698,-0.04771236,0.00294255,0.95675118,-0.00405119,0.41893226,4.07939339,0.74425334,0.52347934,0.01034181,0.61264032,0.02255583,-8.36148930,1.67653143,-0.15228447,0.04502251,0.83200820,0.00009523,0.00097960,2.13951063,0.34410802,-3.33159041,0.76266593,-1.19944501,0.14275496,-3.58995128,0.69418269,-0.51512361,0.30875322,0.57857723,-0.00257606,0.36237919,-1.81186676,0.21712436,-2.12840319,0.19786404,2.55770922,0.41775259,-5.93765211,1.92219698,-0.04771236,0.00294255,0.95675118,-0.00405119,0.41893226,4.07939339,0.74425334,0.52347934,0.01034181,0.61264032,0.02255583,-8.36148930,1.67653143,-0.15228447,0.04502251,0.83200820,
-7.09,-4.50,0.00,0.11,67.00,192.00,10.00,3.69,159.00,17.82,0.80,-2.31012368,-0.42186025,-1.62654114,-1.92039979,-1.56973124,6.70574427,0.00975670,5.97,-1.22770321,-0.82462788,-1.15497518,-1.37144220,-2.11048579,-1.56818295,-0.86670935,-1.83668458,-1.86264431,-1.42340362,5.34283829,0.02102101,0.37297538,-0.51361793,-0.88659334,45.81552887,0.00000000,2.85676599,2.30019665,-0.55656946,0.31854615,6.28,0.00,0.00217721,0.32456627,-4.41836548,0.95158619,6.66994953,1.82652247,-0.60792381,0.01902960,0.19686151,0.00085048,-2.10773444,3.97793007,0.04638588,0.00670634,1.22464955,-3.00543976,0.10064447,-16.66764641,2.29758763,5.56634617,0.63195366,-3.45179367,0.17798963,-2.45668054,5.78833342,0.01632325,0.00209200,0.05265141,8.81404305,0.59837896,-6.12114811,0.45475528,7.44086790,0.78244662,-3.64308453,0.12090716,-1.70315588,3.95915222,0.04690380,0.00345188,0.82830691,-4.92183876,1.09283066,-12.06886959,6.00624037,1.99315965,0.23662858,3.52590728,0.40186244,-2.41971374,4.08916426,0.04343911,0.01284990,5.40468931,-2.55978942,0.25973806,-9.15570545,2.19451952,-1.07130909,0.04393101,4.13368320,0.55838341,-3.71363449,10.92139816,0.00098619,0.02291455,8.09037113,-4.92558002,0.65493172,-17.14314079,6.71528339,-1.38472617,0.06974458,-10.82199192,1.69518065,-3.45303082,13.97668457,0.00019617,0.00345188,0.82830691,-4.92183876,1.09283066,-12.06886959,6.00624037,1.99315965,0.23662858,3.52590728,0.40186244,-2.41971374,4.08916426,0.04343911,0.01284990,5.40468931,-2.55978942,0.25973806,-9.15570545,2.19451952,-1.07130909,0.04393101,4.13368320,0.55838341,-3.71363449,10.92139816,0.00098619,0.02291455,8.09037113,-4.92558002,0.65493172,-17.14314079,6.71528339,-1.38472617,0.06974458,-10.82199192,1.69518065,-3.45303082,13.97668457,0.00019617,
-5.48,-3.35,0.00,0.14,68.00,189.00,10.00,2.68,156.00,17.13,0.66,-1.85008943,-0.71929795,-0.98454326,-1.25443745,-1.20209205,4.05100727,0.04442558,5.88,-1.35869670,-0.98428774,-1.19949901,-0.83776164,-0.42746526,-1.03439510,-1.29869008,-1.86384404,-1.20276999,-1.13302243,3.50208020,0.06159928,0.56934428,-0.21209922,-0.78144354,45.93958282,0.00000000,-3.67871833,-5.12863874,-1.44992054,2.15770698,6.28,0.00,-0.00701512,3.47782993,1.32846010,0.08876438,-3.83683109,0.62387425,1.62570524,0.14077218,-2.77327561,0.19475497,0.41227415,0.15712063,0.69191055,-0.00733455,1.51315224,-16.77347565,3.23873281,-11.15592670,1.06312990,5.48057890,0.63277876,-0.16081251,0.00032969,-0.21329229,0.04505719,0.83194449,-0.01059065,1.39481163,6.37508249,0.32347432,10.21775913,1.30925381,6.11653757,0.54636335,-12.67510414,1.51185024,-0.52063608,0.38226789,0.53654035,-0.00688676,3.38659883,-5.55349302,1.42920685,-0.22290249,0.00219574,-0.05787841,0.00021957,4.18473864,0.58154160,0.68959200,0.34121791,0.55926589,-0.00300011,0.30125484,-1.31003904,0.06962966,3.94276381,0.41613832,-3.68593049,0.53189629,2.01581216,0.13576144,-0.74472058,0.44914955,0.50290214,0.00094216,0.01393460,3.74156380,0.38523147,-7.46319056,1.29734457,1.20879555,0.05409260,14.88185310,3.26804876,-1.21038282,1.75060332,0.18611960,-0.00688676,3.38659883,-5.55349302,1.42920685,-0.22290249,0.00219574,-0.05787841,0.00021957,4.18473864,0.58154160,0.68959200,0.34121791,0.55926589,-0.00300011,0.30125484,-1.31003904,0.06962966,3.94276381,0.41613832,-3.68593049,0.53189629,2.01581216,0.13576144,-0.74472058,0.44914955,0.50290214,0.00094216,0.01393460,3.74156380,0.38523147,-7.46319056,1.29734457,1.20879555,0.05409260,14.88185310,3.26804876,-1.21038282,1.75060332,0.18611960,
-5.67,-3.70,0.00,0.18,68.00,189.00,11.00,2.83,154.00,17.24,0.63,1.66639614,1.03388929,0.27998129,2.39659905,1.34421647,3.91530204,0.04813567,6.69,-0.93989015,1.75782871,1.70056844,0.88398939,1.72756088,0.61986434,1.59427643,0.32268378,2.35714912,1.11266744,2.62410522,0.10558405,0.34529999,-0.46109691,-0.80639690,45.18586731,0.00000000,0.63411766,0.01447679,-0.61964089,0.44060233,6.28,0.00,0.00718324,2.81659889,-0.23098016,0.00203407,3.49441528,0.39961073,4.51837778,0.84007245,1.78082263,0.06195449,-0.37952304,0.10280547,0.74855917,0.00066441,0.00955328,-6.47289705,0.37105599,9.40742302,0.58165079,5.30213690,0.45568281,8.59169102,0.87619603,1.15582621,1.01822698,0.31319715,0.02211592,4.70655680,-0.32861999,0.00067905,7.69550514,0.57464319,1.66200030,0.03115126,-10.03448677,0.73320061,-0.10527379,0.01205308,0.91260190,0.00086142,0.04082740,1.55870628,0.08672653,-3.52704048,0.40573815,2.96976757,0.41545895,-6.68644476,1.14299822,1.13133323,0.70699871,0.40065378,0.00765479,1.51624429,1.67565322,0.08796312,2.09671164,0.09100507,-0.18724740,0.00101398,0.52522647,0.00709789,0.02523474,0.00042249,0.98360524,0.01070201,1.39267921,1.41527474,0.04263997,-4.66322422,0.39216882,-1.72745991,0.08570464,19.13308144,4.18185997,0.44467708,0.18296115,0.66893777,0.00086142,0.04082740,1.55870628,0.08672653,-3.52704048,0.40573815,2.96976757,0.41545895,-6.68644476,1.14299822,1.13133323,0.70699871,0.40065378,0.00765479,1.51624429,1.67565322,0.08796312,2.09671164,0.09100507,-0.18724740,0.00101398,0.52522647,0.00709789,0.02523474,0.00042249,0.98360524,0.01070201,1.39267921,1.41527474,0.04263997,-4.66322422,0.39216882,-1.72745991,0.08570464,19.13308144,4.18185997,0.44467708,0.18296115,0.66893777,
-8.66,-5.53,0.00,0.22,68.00,190.00,4.00,4.66,128.00,16.51,0.72,0.70247149,1.35473084,0.81432891,1.37942588,1.06273925,3.24476933,0.07196744,5.81,0.18175711,0.53644401,0.99642330,1.55884087,-0.28823301,1.18221450,1.47059548,1.20386648,1.25561655,0.89882535,2.26932240,0.13229036,-0.07193965,-0.99212813,-0.92018849,59.31880951,0.00000000,1.11961377,-0.97606230,-2.09567595,5.08616638,4.72,1.90,0.01680720,20.81660271,-0.62823611,0.02070899,-8.87923908,3.48374510,-0.60545594,0.02036575,-1.80483544,0.08598237,-2.69521499,7.00032711,0.00828429,0.02549242,19.03580284,4.74354744,0.26975083,-20.39560890,3.70080519,2.10798359,0.09750857,-3.54289651,0.20165505,-2.33517575,5.62596989,0.01789493,0.02959082,11.24058151,-2.22277880,0.04059525,0.90430939,0.01058760,1.79375577,0.04852180,-7.84669352,0.59817129,-0.85689449,1.06906497,0.30142015,0.01117673,9.26029110,3.40391397,0.55735791,5.67519522,1.41630459,2.15952563,0.29617476,11.16645241,4.29815292,-2.09520507,3.26949120,0.07089597,0.02088718,15.22231579,0.87523508,0.03235894,6.29200411,1.10481834,-1.04731166,0.04477839,4.83945131,0.81586677,-2.54776907,5.47959852,0.01944593,0.03077577,15.54679394,0.44892970,0.00584761,-0.44746840,0.00493034,-1.45441926,0.08198123,19.23460197,5.70509100,-1.56823099,3.07108569,0.08001916,0.01117673,9.26029110,3.40391397,0.55735791,5.67519522,1.41630459,2.15952563,0.29617476,11.16645241,4.29815292,-2.09520507,3.26949120,0.07089597,0.02088718,15.22231579,0.87523508,0.03235894,6.29200411,1.10481834,-1.04731166,0.04477839,4.83945131,0.81586677,-2.54776907,5.47959852,0.01944593,0.03077577,15.54679394,0.44892970,0.00584761,-0.44746840,0.00493034,-1.45441926,0.08198123,19.23460197,5.70509100,-1.56823099,3.07108569,0.08001916,
-8.16,-5.03,0.00,0.19,68.00,190.00,5.00,4.33,134.00,20.86,0.73,-0.38069436,0.05015627,-0.70060557,-0.35575616,-0.34672496,0.49996305,0.47968903,4.83,1.14406538,-1.20169902,-1.58912122,0.60737926,0.24368784,0.23989797,-0.16784641,-0.87134725,-0.21279949,-0.20066391,0.16504174,0.68464808,-0.06320432,-0.93824995,-0.87504566,62.51699448,0.00000000,-0.98533517,-2.28473592,-1.29940081,2.39261508,4.67,2.05,0.00422456,1.87304270,5.97784042,2.66995549,1.12558830,0.07968314,-3.31058264,0.86706340,2.61830807,0.25770733,-1.28397715,2.26265907,0.13285905,0.00911870,3.46363902,5.76781464,0.56718266,-4.27236223,0.23094182,2.52121592,0.19831051,-6.11171341,0.85345942,-1.56685185,3.60189486,0.05801700,-0.00097567,0.01749643,-2.20164752,0.05702542,-0.18505247,0.00064802,5.36110497,0.61990839,2.65427089,0.09793144,-0.30133182,0.18913971,0.66373247,0.00039922,0.01678848,0.13039249,0.00113545,-5.57632542,1.94600403,-0.61592793,0.03430690,-0.04670266,0.00008110,-0.40294293,0.17210221,0.67834399,0.00322499,0.51754755,0.51640904,0.01600830,-8.11325455,2.62016082,1.72743130,0.17365350,-2.65628052,0.35055742,-0.82850021,0.82649964,0.36351747,0.00190501,0.08421515,0.51084936,0.01053703,-5.35766983,0.98780566,-2.24207258,0.27542165,-2.52265835,0.13868347,-0.49486834,0.43234226,0.51100131,0.00039922,0.01678848,0.13039249,0.00113545,-5.57632542,1.94600403,-0.61592793,0.03430690,-0.04670266,0.00008110,-0.40294293,0.17210221,0.67834399,0.00322499,0.51754755,0.51640904,0.01600830,-8.11325455,2.62016082,1.72743130,0.17365350,-2.65628052,0.35055742,-0.82850021,0.82649964,0.36351747,0.00190501,0.08421515,0.51084936,0.01053703,-5.35766983,0.98780566,-2.24207258,0.27542165,-2.52265835,0.13868347,-0.49486834,0.43234226,0.51100131,
-6.00,-3.57,0.00,0.17,68.00,190.00,9.00,2.99,151.00,16.04,0.69,-0.05916288,-0.23097914,-0.10148435,-0.20463580,-0.14906554,0.06090367,0.80512640,5.94,0.67345947,-1.04507565,-0.93659145,-0.97454697,-1.44006729,1.10747600,1.37130296,0.22064415,-0.25394320,-0.14178498,0.05453166,0.81540789,0.61916274,-0.28385842,-0.90302116,69.80117798,0.00000000,6.98558426,6.46436691,-0.52121747,0.33706406,6.28,0.00,0.01192546,9.91974926,4.20675230,0.87881702,-7.40211344,2.29163861,2.37796068,0.29737914,-3.30444050,0.27290437,-2.83775187,7.34535122,0.00684492,0.01046437,3.01261544,6.83415461,0.52594739,-11.74512672,1.15272021,7.41439772,1.13283455,-1.15288150,0.02010058,-1.58176231,2.42443156,0.11978997,0.01272083,1.99248815,27.26798439,5.85918617,-18.21717453,4.12106705,-8.01578236,0.92906755,-15.61413002,2.27172971,-0.88306916,1.08905303,0.29694688,0.00584145,2.38287234,-0.96566069,0.04219659,-5.79360294,1.39044726,1.19054890,0.08482265,3.55693865,0.41079932,-1.71212065,2.05668092,0.15186935,0.00675716,1.50175989,-5.83361769,1.35547197,-7.66682529,1.54622614,-0.62303489,0.01492952,4.27566719,0.60029578,-1.26039946,1.26406896,0.26116660,0.01739672,4.65805531,-7.29652500,1.43571222,-4.04869223,0.37414098,-3.31232834,0.39865366,-4.17531967,0.25211513,-1.67909503,3.30125666,0.06954222,0.00584145,2.38287234,-0.96566069,0.04219659,-5.79360294,1.39044726,1.19054890,0.08482265,3.55693865,0.41079932,-1.71212065,2.05668092,0.15186935,0.00675716,1.50175989,-5.83361769,1.35547197,-7.66682529,1.54622614,-0.62303489,0.01492952,4.27566719,0.60029578,-1.26039946,1.26406896,0.26116660,0.01739672,4.65805531,-7.29652500,1.43571222,-4.04869223,0.37414098,-3.31232834,0.39865366,-4.17531967,0.25211513,-1.67909503,3.30125666,0.06954222,
