x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,V23_superficial_deveined,V23_superficial_deveined F,V23_superficial_deveined_iso0,V23_superficial_deveined_iso0 F,V23_superficial_deveined_iso90,V23_superficial_deveined_iso90 F,V23_superficial_deveined_orth,V23_superficial_deveined_orth F,V23_superficial_deveined_sur,V23_superficial_deveined_sur F,V23_superficial_deveined_task,V23_superficial_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L2 p-val,V23_middle_deveined,V23_middle_deveined F,V23_middle_deveined_iso0,V23_middle_deveined_iso0 F,V23_middle_deveined_iso90,V23_middle_deveined_iso90 F,V23_middle_deveined_orth,V23_middle_deveined_orth F,V23_middle_deveined_sur,V23_middle_deveined_sur F,V23_middle_deveined_task,V23_middle_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L1 p-val,V23_deep_deveined,V23_deep_deveined F,V23_deep_deveined_iso0,V23_deep_deveined_iso0 F,V23_deep_deveined_iso90,V23_deep_deveined_iso90 F,V23_deep_deveined_orth,V23_deep_deveined_orth F,V23_deep_deveined_sur,V23_deep_deveined_sur F,V23_deep_deveined_task,V23_deep_deveined_task F,task_unwarp_gPPI_V23_tgt_roi_manual_deveined_L0 p-val,V1_tgt_superficial_deveined,V1_tgt_superficial_deveined F,V1_tgt_superficial_deveined_iso0,V1_tgt_superficial_deveined_iso0 F,V1_tgt_superficial_deveined_iso90,V1_tgt_superficial_deveined_iso90 F,V1_tgt_superficial_deveined_orth,V1_tgt_superficial_deveined_orth F,V1_tgt_superficial_deveined_sur,V1_tgt_superficial_deveined_sur F,V1_tgt_superficial_deveined_task,V1_tgt_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L2 p-val,V1_tgt_middle_deveined,V1_tgt_middle_deveined F,V1_tgt_middle_deveined_iso0,V1_tgt_middle_deveined_iso0 F,V1_tgt_middle_deveined_iso90,V1_tgt_middle_deveined_iso90 F,V1_tgt_middle_deveined_orth,V1_tgt_middle_deveined_orth F,V1_tgt_middle_deveined_sur,V1_tgt_middle_deveined_sur F,V1_tgt_middle_deveined_task,V1_tgt_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L1 p-val,V1_tgt_deep_deveined,V1_tgt_deep_deveined F,V1_tgt_deep_deveined_iso0,V1_tgt_deep_deveined_iso0 F,V1_tgt_deep_deveined_iso90,V1_tgt_deep_deveined_iso90 F,V1_tgt_deep_deveined_orth,V1_tgt_deep_deveined_orth F,V1_tgt_deep_deveined_sur,V1_tgt_deep_deveined_sur F,V1_tgt_deep_deveined_task,V1_tgt_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_tgt_L0 p-val,V1_sur_superficial_deveined,V1_sur_superficial_deveined F,V1_sur_superficial_deveined_iso0,V1_sur_superficial_deveined_iso0 F,V1_sur_superficial_deveined_iso90,V1_sur_superficial_deveined_iso90 F,V1_sur_superficial_deveined_orth,V1_sur_superficial_deveined_orth F,V1_sur_superficial_deveined_sur,V1_sur_superficial_deveined_sur F,V1_sur_superficial_deveined_task,V1_sur_superficial_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L2 p-val,V1_sur_middle_deveined,V1_sur_middle_deveined F,V1_sur_middle_deveined_iso0,V1_sur_middle_deveined_iso0 F,V1_sur_middle_deveined_iso90,V1_sur_middle_deveined_iso90 F,V1_sur_middle_deveined_orth,V1_sur_middle_deveined_orth F,V1_sur_middle_deveined_sur,V1_sur_middle_deveined_sur F,V1_sur_middle_deveined_task,V1_sur_middle_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L1 p-val,V1_sur_deep_deveined,V1_sur_deep_deveined F,V1_sur_deep_deveined_iso0,V1_sur_deep_deveined_iso0 F,V1_sur_deep_deveined_iso90,V1_sur_deep_deveined_iso90 F,V1_sur_deep_deveined_orth,V1_sur_deep_deveined_orth F,V1_sur_deep_deveined_sur,V1_sur_deep_deveined_sur F,V1_sur_deep_deveined_task,V1_sur_deep_deveined_task F,task_unwarp_gPPI_V1_tgt_roi_manual_deveined_sur_L0 p-val
-9.91,-3.13,7.00,0.15,117.00,122.00,6.00,2.67,95.00,15.51,0.70,4.31530905,2.97742438,4.48574829,4.33013964,4.02715540,33.59389114,0.00000001,6.93,2.52514100,2.39187431,4.44178152,3.90721154,4.15105057,3.86439204,4.65105247,5.85511351,4.28580046,4.00414944,31.99620628,0.00000002,-1.12054634,-1.03496146,0.08558486,0.37193164,0.54243578,3.32557392,2.65756273,-0.66801113,0.40105930,1.16,3.68,0.00829369,11.41887856,0.59455103,0.03093525,-2.08075714,0.24325667,-2.14555454,0.87576932,-2.10959554,0.24182309,2.12070799,5.42332602,0.02009009,0.02043641,21.53734589,2.83686757,0.19313225,2.27499151,0.11888006,-3.86191154,1.11814618,1.64950323,0.07739069,0.78608322,0.64538169,0.42198082,0.00819450,1.10536087,4.46254492,0.28723803,-17.38819122,2.34059668,-22.16378403,3.16433692,-3.37602735,0.07572298,3.44008183,11.75691128,0.00063369,0.01176324,8.21454906,-0.39241207,0.00593765,-1.98419273,0.08012068,-4.33895063,0.87862164,1.63151371,0.05779812,1.68049502,2.39460087,0.12210637,0.01118450,3.07698941,4.44715357,0.34076819,8.94286919,0.89861447,0.93268389,0.02090326,20.08370018,4.25253439,2.59153748,6.19383049,0.01299942,0.00600233,0.60025358,5.24695158,0.29360393,13.71339989,1.59075451,21.45023155,4.08121443,9.17350006,1.08039641,3.57570148,16.77950859,0.00004577,0.01176324,8.21454906,-0.39241207,0.00593765,-1.98419273,0.08012068,-4.33895063,0.87862164,1.63151371,0.05779812,1.68049502,2.39460087,0.12210637,0.01118450,3.07698941,4.44715357,0.34076819,8.94286919,0.89861447,0.93268389,0.02090326,20.08370018,4.25253439,2.59153748,6.19383049,0.01299942,0.00600233,0.60025358,5.24695158,0.29360393,13.71339989,1.59075451,21.45023155,4.08121443,9.17350006,1.08039641,3.57570148,16.77950859,0.00004577,
-9.88,-2.21,6.00,0.13,117.00,123.00,6.00,2.46,106.00,15.02,0.68,-2.22007132,-0.78917968,-0.75122118,-0.86601985,-1.15662301,2.38820386,0.12260361,7.47,0.06390288,-3.84565735,0.75948411,-3.88021398,-3.95685983,2.11847830,0.00115728,-0.64984411,-1.00549161,-1.15384996,2.35280156,0.12540951,-1.39774001,-1.39577997,0.00196002,0.00017035,0.98959557,5.22699976,5.60248137,0.37548164,0.12577739,1.14,3.54,-0.00626236,5.59309244,-0.04130151,0.00006482,-3.78746319,0.69229782,0.78221709,0.09995536,-5.45211029,1.38744783,0.45722720,0.21656995,0.64177855,-0.01081044,5.07925653,4.26327085,0.36754593,4.84208727,0.45393246,3.32997727,0.70064050,5.49547338,0.72393066,0.47531649,0.19890189,0.65571594,0.01948386,5.40594053,-6.62380314,0.54752070,21.02045250,2.95913863,-3.08130693,0.05293780,5.52587605,0.17559539,-3.10198617,8.26995945,0.00412575,0.00652387,2.16298246,-3.98587990,0.52260065,-0.20153038,0.00070778,0.67860079,0.01840234,-8.63590622,1.38673842,-2.49918270,4.53386021,0.03350146,0.01452155,4.45358086,-3.04357910,0.13705809,-11.71198654,1.32345307,2.88315105,0.17204890,7.62917471,0.52686346,-2.99637604,7.10926723,0.00780620,0.05777941,50.38559723,-1.41799498,0.01942484,-3.10922647,0.07409966,8.61607647,0.59653282,11.21870422,1.46379089,-5.11393547,31.09136200,0.00000003,0.00652387,2.16298246,-3.98587990,0.52260065,-0.20153038,0.00070778,0.67860079,0.01840234,-8.63590622,1.38673842,-2.49918270,4.53386021,0.03350146,0.01452155,4.45358086,-3.04357910,0.13705809,-11.71198654,1.32345307,2.88315105,0.17204890,7.62917471,0.52686346,-2.99637604,7.10926723,0.00780620,0.05777941,50.38559723,-1.41799498,0.01942484,-3.10922647,0.07409966,8.61607647,0.59653282,11.21870422,1.46379089,-5.11393547,31.09136200,0.00000003,
-10.38,-2.23,9.00,0.26,117.00,123.00,7.00,2.61,123.00,15.75,0.67,3.50194383,3.07732439,3.62412119,2.53170729,3.18377423,21.77888489,0.00000352,6.81,1.82611346,3.31593323,3.19060016,4.50195074,2.30074644,3.30115199,3.92575574,5.01825333,2.52433276,3.31943703,22.87207985,0.00000202,-1.54329717,-1.23373592,0.30956128,5.00102091,0.02610076,-0.11877223,-0.65443617,-0.53566390,0.32079348,1.18,3.46,0.00071501,0.08717361,2.21446037,0.43981993,-0.11061512,0.00069739,-3.36013842,2.20576358,4.03095341,0.90660560,3.04163551,11.45716953,0.00074297,0.00107787,0.06080996,9.61298847,2.24926949,-8.06488609,1.51574445,-5.25368023,2.09938025,-0.28550309,0.00232988,3.17232728,10.66278934,0.00113441,0.01093260,2.03789711,7.57498789,0.85730243,14.18629646,1.61374569,-5.75492620,0.22095902,-1.98581636,0.02715437,2.16863084,4.83968544,0.02806549,0.00267309,0.43594471,-1.25308633,0.06202403,3.04158115,0.19356440,2.19328570,0.23071702,0.71056771,0.01127710,2.58785915,5.83574247,0.01590203,0.01754450,7.85207987,1.47487736,0.03891106,-8.60572815,0.86306131,5.63079357,0.79256910,1.73790038,0.03306270,0.99515665,0.94719964,0.33069463,0.03605208,23.06879616,5.53641558,0.34824198,-2.16895270,0.04241204,26.23224831,6.50238085,7.76500177,0.82467860,0.68911380,0.66397607,0.41537530,0.00267309,0.43594471,-1.25308633,0.06202403,3.04158115,0.19356440,2.19328570,0.23071702,0.71056771,0.01127710,2.58785915,5.83574247,0.01590203,0.01754450,7.85207987,1.47487736,0.03891106,-8.60572815,0.86306131,5.63079357,0.79256910,1.73790038,0.03306270,0.99515665,0.94719964,0.33069463,0.03605208,23.06879616,5.53641558,0.34824198,-2.16895270,0.04241204,26.23224831,6.50238085,7.76500177,0.82467860,0.68911380,0.66397607,0.41537530,
-10.47,-2.02,12.00,0.40,117.00,123.00,8.00,2.61,118.00,12.30,0.68,4.53394175,0.91670036,3.35259938,3.64968562,3.11323190,14.45736790,0.00015298,8.17,4.95879269,1.92505634,6.23882484,3.28723407,1.77045929,2.33206320,0.04911974,3.26263452,3.63455796,3.04792047,13.35324669,0.00027290,-1.68521321,-1.22652805,0.45868516,12.53619099,0.00046555,-5.32244539,-3.43161511,1.89083028,2.44281197,1.18,3.46,0.00331177,1.30467594,7.22737551,3.26890755,7.10126781,2.03008461,-1.46477401,0.29244506,2.66403246,0.27627921,2.34797716,4.76368093,0.02932418,0.00574380,1.20056605,4.43993807,0.33372763,15.90990829,4.10293770,-2.85727310,0.43187964,3.76311970,0.28419247,2.15576935,3.42494869,0.06454576,0.01745461,3.61814189,16.80340385,2.93835878,8.21266556,0.37669051,-9.65078068,0.43283474,1.49175811,0.01064525,1.57053816,1.76797593,0.18396967,0.02065613,18.62815475,4.52235746,0.57795483,16.41308594,4.03308105,-3.36296153,0.38819596,-7.18353271,0.82431525,-1.02625775,0.65677691,0.41791436,0.03361358,20.46475220,5.82451010,0.43047729,20.29436302,3.40788531,-7.94960880,1.12167704,6.94349766,0.37427995,-0.91745377,0.57160741,0.44981872,0.03672275,16.39831161,2.79004955,0.06057701,8.17773342,0.41287583,-13.25823116,1.13799417,5.46378946,0.27973774,0.66546279,0.42420322,0.51501340,0.02065613,18.62815475,4.52235746,0.57795483,16.41308594,4.03308105,-3.36296153,0.38819596,-7.18353271,0.82431525,-1.02625775,0.65677691,0.41791436,0.03361358,20.46475220,5.82451010,0.43047729,20.29436302,3.40788531,-7.94960880,1.12167704,6.94349766,0.37427995,-0.91745377,0.57160741,0.44981872,0.03672275,16.39831161,2.79004955,0.06057701,8.17773342,0.41287583,-13.25823116,1.13799417,5.46378946,0.27973774,0.66546279,0.42420322,0.51501340,
-9.62,-1.73,5.00,0.10,117.00,124.00,6.00,2.32,100.00,10.80,0.69,3.70436740,4.29752779,3.44564462,3.46627331,3.72845316,16.06769753,0.00006615,9.28,5.07491112,3.19633150,2.97350430,2.98903823,3.94739127,5.21035719,2.54517508,3.92983294,3.42188883,3.69501591,15.17147732,0.00010544,-1.64966774,-2.03940129,-0.38973343,5.88042259,0.01592737,-15.37223053,-19.81542587,-4.44319534,8.82189465,1.12,3.40,-0.00538168,2.67491913,-10.01807022,4.87634182,-2.51391602,0.19754206,-2.37080741,0.59489292,6.46388769,1.26290905,4.86156559,15.85591888,0.00007387,-0.00266465,0.19950324,-10.38120270,1.40861630,-6.72434139,0.56581521,-5.71165705,1.33238471,5.59971571,0.48591381,4.15611696,9.82736969,0.00177510,0.04943615,22.95232010,-21.69309807,3.87287712,0.27462184,0.00034186,-9.96459198,0.36493844,2.79030728,0.02957112,-0.98202342,0.54663849,0.45988726,0.00075673,0.01889287,-15.60967350,5.20707512,7.41255760,0.62204349,-3.86010647,0.38671863,-3.53519106,0.15097575,3.49483132,5.75939894,0.01660299,0.02784161,10.67663479,-18.10028458,3.16105533,-11.24335957,0.79542148,-5.67888784,0.43526718,-3.90496063,0.09001753,0.31056875,0.04976647,0.82352075,0.07383616,53.48055649,2.23431945,0.03134349,7.83191109,0.30548865,15.66299057,1.28128648,-7.68660450,0.44666681,-1.26852059,1.24340951,0.26511263,0.00075673,0.01889287,-15.60967350,5.20707512,7.41255760,0.62204349,-3.86010647,0.38671863,-3.53519106,0.15097575,3.49483132,5.75939894,0.01660299,0.02784161,10.67663479,-18.10028458,3.16105533,-11.24335957,0.79542148,-5.67888784,0.43526718,-3.90496063,0.09001753,0.31056875,0.04976647,0.82352075,0.07383616,53.48055649,2.23431945,0.03134349,7.83191109,0.30548865,15.66299057,1.28128648,-7.68660450,0.44666681,-1.26852059,1.24340951,0.26511263,
-10.32,-1.55,7.00,0.23,117.00,124.00,7.00,2.52,96.00,11.22,0.69,0.18415236,0.74644965,2.11270857,-1.04089534,0.50060380,0.38693863,0.53406967,8.03,2.72583771,1.91493249,2.54871416,-0.75626004,-2.98744059,4.49953461,-2.70070505,2.09259081,-1.18402469,0.68300295,0.71510136,0.39798023,-1.91783392,-1.93331945,-0.01548554,0.01018693,0.91967625,3.63743401,3.70118403,0.06375002,0.00257355,1.15,3.33,-0.01815644,42.11446762,2.27902675,0.34908664,7.98920679,2.75948000,-1.60742915,0.37823525,2.78939223,0.32527998,4.86989117,22.00807762,0.00000314,-0.02148904,17.59108353,4.77289438,0.40374923,2.95601511,0.14826758,-1.44614851,0.11580931,5.60309792,0.65962672,3.93254018,11.93056393,0.00057798,0.01661480,3.39256525,-2.24980378,0.05452217,3.67227936,0.07795273,-31.61639404,4.80740166,-15.12202549,1.13467634,-0.94171154,0.65773314,0.41757578,-0.00581686,1.48637295,5.38986206,0.82602847,9.28015518,1.29732966,0.91555166,0.02892101,-0.44427159,0.00317019,1.70367074,1.82107794,0.17752437,-0.00447626,0.36368579,4.98352814,0.31574917,0.69523901,0.00399472,-0.89085364,0.01409248,-3.94856405,0.12128408,1.09867597,0.82135838,0.36502587,0.05988466,46.46981812,-3.27597380,0.08898678,-6.32025433,0.26276174,2.95432258,0.06017978,-1.53463233,0.02350044,-3.56499815,12.97259235,0.00033338,-0.00581686,1.48637295,5.38986206,0.82602847,9.28015518,1.29732966,0.91555166,0.02892101,-0.44427159,0.00317019,1.70367074,1.82107794,0.17752437,-0.00447626,0.36368579,4.98352814,0.31574917,0.69523901,0.00399472,-0.89085364,0.01409248,-3.94856405,0.12128408,1.09867597,0.82135838,0.36502587,0.05988466,46.46981812,-3.27597380,0.08898678,-6.32025433,0.26276174,2.95432258,0.06017978,-1.53463233,0.02350044,-3.56499815,12.97259235,0.00033338,
-10.34,-1.42,11.00,0.38,117.00,124.00,8.00,2.52,131.00,12.00,0.69,2.92584801,2.72454071,3.70004320,2.92958307,3.07000375,17.30984306,0.00003478,7.36,4.96059942,1.92371452,3.10592008,2.33027434,0.64760870,4.12059355,2.00622511,5.22265530,2.82951856,3.01332927,16.22946167,0.00006085,-2.06512737,-1.87169981,0.19342759,1.82987916,0.17720655,-5.56661463,-5.08409452,0.48251998,0.16935222,1.15,3.33,-0.00534727,4.18256474,-1.00058877,0.07705477,-3.36030674,0.55899614,-1.98023713,0.65732574,-3.56680346,0.60905844,4.47590208,21.28666306,0.00000453,-0.00037869,0.00643673,7.45422125,1.15562594,-5.12277508,0.52256984,-3.13958073,0.64062089,10.78617573,2.86839414,3.11770201,8.79967785,0.00309250,0.04547659,31.39936447,-2.85985637,0.10880561,13.74878120,1.34967315,-25.30134392,3.80342960,21.64409065,2.87170815,-1.21154630,1.34504461,0.24645387,0.00149721,0.11686623,-2.85407710,0.27484351,-0.45958117,0.00376136,-2.57937980,0.27259988,-0.84335458,0.01359370,2.78046417,5.75534868,0.01664106,0.02150645,10.09556293,-3.21876645,0.15839788,-8.41397285,0.70591813,-4.01956272,0.34555292,1.66771078,0.02595483,0.46719041,0.17861463,0.67266747,0.05732762,50.97205734,2.52393770,0.06323592,-6.60020447,0.34305134,-6.18516874,0.31590039,1.32221377,0.02086925,-0.78388548,0.75073457,0.38647469,0.00149721,0.11686623,-2.85407710,0.27484351,-0.45958117,0.00376136,-2.57937980,0.27259988,-0.84335458,0.01359370,2.78046417,5.75534868,0.01664106,0.02150645,10.09556293,-3.21876645,0.15839788,-8.41397285,0.70591813,-4.01956272,0.34555292,1.66771078,0.02595483,0.46719041,0.17861463,0.67266747,0.05732762,50.97205734,2.52393770,0.06323592,-6.60020447,0.34305134,-6.18516874,0.31590039,1.32221377,0.02086925,-0.78388548,0.75073457,0.38647469,
-10.48,-1.08,6.00,0.18,117.00,125.00,7.00,2.55,81.00,11.29,0.69,5.76715088,4.41968393,5.64002228,6.35850430,5.54634047,34.17443848,0.00000001,9.47,6.71889830,6.27482986,4.93387890,7.56015539,4.45521975,5.04073668,2.71713114,4.14859152,6.38349915,5.35385656,30.75758362,0.00000004,-2.06183267,-2.61309314,-0.55126047,11.13358402,0.00095951,-2.51924896,-4.37663221,-1.85738325,1.52728951,1.13,3.19,0.00669348,3.99330044,-3.04572582,0.43493155,13.99672318,5.90941381,-2.32753801,0.55330616,-6.35811090,1.17920899,3.97631288,10.23685265,0.00142479,0.01060522,3.05644917,4.97068405,0.31238967,16.57929039,3.32720828,-5.64499378,1.25891757,-8.11202717,0.98630267,3.97953010,8.71560764,0.00323693,0.02780850,6.83941507,-1.32079887,0.01352172,-15.38940620,0.98507345,-8.07676792,0.22576445,-18.39711952,1.20858431,3.07180738,5.03684092,0.02505602,0.00558571,0.98873794,-4.84801149,0.48209199,11.99800968,1.56431150,-7.85473871,1.53702939,-6.86969757,0.54716802,4.47613001,9.06859303,0.00267304,0.02199327,6.38172436,-9.51311398,0.83637226,-0.40662533,0.00096793,-11.46088982,1.69823337,-20.84026146,2.45604181,3.00792861,4.47554731,0.03465735,-0.00046875,0.00191631,-6.79357576,0.26205534,-4.84617376,0.10571641,-0.27918008,0.00031938,-7.93627024,0.43053091,5.56731081,21.65964890,0.00000374,0.00558571,0.98873794,-4.84801149,0.48209199,11.99800968,1.56431150,-7.85473871,1.53702939,-6.86969757,0.54716802,4.47613001,9.06859303,0.00267304,0.02199327,6.38172436,-9.51311398,0.83637226,-0.40662533,0.00096793,-11.46088982,1.69823337,-20.84026146,2.45604181,3.00792861,4.47554731,0.03465735,-0.00046875,0.00191631,-6.79357576,0.26205534,-4.84617376,0.10571641,-0.27918008,0.00031938,-7.93627024,0.43053091,5.56731081,21.65964890,0.00000374,
-10.50,-0.98,10.00,0.32,117.00,125.00,8.00,2.56,113.00,13.40,0.69,3.71608925,4.02387714,5.63475561,3.67768598,4.26310205,30.87642097,0.00000004,7.66,1.86302423,4.87734890,4.41743660,5.68168736,5.45269156,6.33866310,3.15263176,4.14665747,3.62349725,4.39045382,31.60845184,0.00000003,-2.24169707,-2.55456090,-0.31286380,3.99563074,0.04656123,-6.86134529,-6.92555618,-0.06421113,0.00318341,1.13,3.19,-0.00047481,0.03040521,-6.10845613,2.64752126,-4.10082483,0.76754761,-0.49336252,0.03757741,3.83091092,0.64776582,4.26892185,17.85386467,0.00002628,0.00584738,1.41281557,-9.84120083,1.86179578,-11.12247658,2.27685714,-2.54218888,0.38819614,-1.15239680,0.03023869,3.36509037,9.47575188,0.00214516,0.04315579,25.92041969,-27.71661568,9.36896992,1.25534832,0.01032229,-9.72061443,0.51465815,1.29979193,0.00949904,0.10414824,0.00911908,0.92394380,0.00992360,4.78876925,-5.57528257,0.97841555,-11.54579449,2.22292185,-3.27300429,0.40954068,5.90459204,0.62028295,2.23712635,3.47604728,0.06258865,0.02349989,11.23139286,-19.19097710,5.24696970,-20.79863167,4.01906252,-6.20059299,0.76623738,-6.44100332,0.36163917,1.39041889,1.47415984,0.22500900,0.05218574,38.55124664,-15.02595806,2.04578376,-15.85408783,1.80651236,-2.66796184,0.05370231,-6.67169046,0.48561409,0.69142330,0.53307343,0.46550758,0.00992360,4.78876925,-5.57528257,0.97841555,-11.54579449,2.22292185,-3.27300429,0.40954068,5.90459204,0.62028295,2.23712635,3.47604728,0.06258865,0.02349989,11.23139286,-19.19097710,5.24696970,-20.79863167,4.01906252,-6.20059299,0.76623738,-6.44100332,0.36163917,1.39041889,1.47415984,0.22500900,0.05218574,38.55124664,-15.02595806,2.04578376,-15.85408783,1.80651236,-2.66796184,0.05370231,-6.67169046,0.48561409,0.69142330,0.53307343,0.46550758,
-9.49,-3.77,6.00,0.29,118.00,121.00,5.00,2.78,120.00,12.79,0.75,1.94625032,3.57215667,4.08024931,2.14493990,2.93589902,17.41518593,0.00003294,7.02,1.72410178,4.69867992,2.37640429,2.60958266,5.98291302,5.21418905,2.91883826,0.16637686,2.12783337,3.08790016,18.78613472,0.00001627,-1.03314435,-1.10211110,-0.06896676,0.18386997,0.66839000,-1.65598643,-2.94951558,-1.29352915,1.71126282,1.17,3.81,-0.00686269,7.68087721,3.27665925,0.92115676,-6.58877373,2.39603043,-6.57129622,8.07018375,1.29895711,0.09006240,4.79384947,27.22486305,0.00000022,-0.00578033,1.65107083,7.37268543,1.24961758,-6.56807756,0.94953626,-8.66824245,5.39779615,2.07526255,0.11736254,4.03786421,16.31610680,0.00005818,0.02432503,9.67786598,5.31378841,0.40470496,8.11666965,0.50673705,-47.22403336,14.27392483,-14.78613853,1.44378006,0.84798414,0.70983374,0.39972284,-0.00021523,0.00263368,-1.56203139,0.09122762,-7.94077444,1.24938679,-10.14579296,4.67601919,-9.33868885,1.84379292,3.15970588,8.23982239,0.00419417,0.01449650,5.06626225,0.98827362,0.01650752,-10.50895214,1.21632445,-20.07473373,9.52056694,-4.25996208,0.18755199,1.39516032,1.75937772,0.18503863,0.04249297,30.35590553,11.26130009,1.36467254,-18.07713699,2.78926420,16.47492027,2.42937136,6.42566538,0.53488386,0.05009626,0.00332884,0.95400352,-0.00021523,0.00263368,-1.56203139,0.09122762,-7.94077444,1.24938679,-10.14579296,4.67601919,-9.33868885,1.84379292,3.15970588,8.23982239,0.00419417,0.01449650,5.06626225,0.98827362,0.01650752,-10.50895214,1.21632445,-20.07473373,9.52056694,-4.25996208,0.18755199,1.39516032,1.75937772,0.18503863,0.04249297,30.35590553,11.26130009,1.36467254,-18.07713699,2.78926420,16.47492027,2.42937136,6.42566538,0.53488386,0.05009626,0.00332884,0.95400352,
